Checkpoint Path,Classification Report,Average Precision,Average Recall,Overall Precision,Overall Recall,F1 Score,Per Label Precision,Per Label Recall,Per Label F1,Macro Precision,Macro Recall,Macro F1 Score
checkpoints/mistral_attention/checkpoint-12025,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.71      0.74       593
      normal       0.73      0.72      0.73       781
   offensive       0.51      0.56      0.54       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.67      1922
   macro avg       0.50      0.50      0.50      1922
weighted avg       0.68      0.67      0.68      1922
",0.6955948664585501,0.6844606312868541,0.6902199344875994,0.7129047849202513,0.7013789824060865,"{'african': 0.7602339181286549, 'arab': 0.654320987654321, 'asian': 0.5434782608695652, 'caucasian': 0.6, 'christian': 0.0, 'hispanic': 0.8064516129032258, 'buddhism': 0, 'hindu': 0, 'islam': 0.8290155440414507, 'jewish': 0.8526315789473684, 'men': 0.5, 'women': 0.49444444444444446, 'heterosexual': 0, 'homosexual': 0.7211538461538461, 'indigenous': 0, 'refugee': 0.6835443037974683, 'immigrant': 0, 'disability': 0.0, 'none': 0.685131195335277}","{'african': 0.8387096774193549, 'arab': 0.6883116883116883, 'asian': 0.7352941176470589, 'caucasian': 0.25, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.7843137254901961, 'jewish': 0.8709677419354839, 'men': 0.16666666666666666, 'women': 0.5894039735099338, 'heterosexual': 0, 'homosexual': 0.8241758241758241, 'indigenous': 0, 'refugee': 0.7012987012987013, 'immigrant': 0, 'disability': 0.0, 'none': 0.7035928143712575}","{'african': 0.7975460122699387, 'arab': 0.6708860759493671, 'asian': 0.625, 'caucasian': 0.35294117647058826, 'christian': 0, 'hispanic': 0.7575757575757576, 'buddhism': 0, 'hindu': 0, 'islam': 0.8060453400503779, 'jewish': 0.8617021276595744, 'men': 0.25, 'women': 0.5377643504531722, 'heterosexual': 0, 'homosexual': 0.7692307692307693, 'indigenous': 0, 'refugee': 0.6923076923076923, 'immigrant': 0, 'disability': 0, 'none': 0.6942392909896603}",0.42791608906713796,0.41405371816378317,0.4113283469977315
checkpoints/mistral_attention/checkpoint-1443,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.86      0.68      0.76       593
      normal       0.69      0.84      0.76       781
   offensive       0.52      0.47      0.49       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.52      0.50      0.50      1922
weighted avg       0.69      0.69      0.68      1922
",0.6984044398196324,0.699063475546306,0.6986492780624126,0.7249879168680522,0.7115749525616697,"{'african': 0.8512110726643599, 'arab': 0.7011494252873564, 'asian': 0.6, 'caucasian': 0.39473684210526316, 'christian': 0.5, 'hispanic': 0.8214285714285714, 'buddhism': 0, 'hindu': 0, 'islam': 0.8465608465608465, 'jewish': 0.8913043478260869, 'men': 0.25, 'women': 0.541095890410959, 'heterosexual': 0, 'homosexual': 0.7743589743589744, 'indigenous': 0, 'refugee': 0.6461538461538462, 'immigrant': 0, 'disability': 0, 'none': 0.6367924528301887}","{'african': 0.7935483870967742, 'arab': 0.7922077922077922, 'asian': 0.35294117647058826, 'caucasian': 0.3125, 'christian': 0.3333333333333333, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.7843137254901961, 'jewish': 0.8817204301075269, 'men': 0.16666666666666666, 'women': 0.5231788079470199, 'heterosexual': 0, 'homosexual': 0.8296703296703297, 'indigenous': 0, 'refugee': 0.5454545454545454, 'immigrant': 0, 'disability': 0.0, 'none': 0.8083832335329342}","{'african': 0.8213689482470785, 'arab': 0.7439024390243902, 'asian': 0.4444444444444445, 'caucasian': 0.3488372093023256, 'christian': 0.4, 'hispanic': 0.73015873015873, 'buddhism': 0, 'hindu': 0, 'islam': 0.8142493638676844, 'jewish': 0.8864864864864864, 'men': 0.2, 'women': 0.5319865319865321, 'heterosexual': 0, 'homosexual': 0.8010610079575596, 'indigenous': 0, 'refugee': 0.5915492957746479, 'immigrant': 0, 'disability': 0, 'none': 0.712401055408971}",0.4449890668224448,0.409529541322135,0.42244450066625533
checkpoints/mistral_attention/checkpoint-14430,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.73      0.78      0.76       593
      normal       0.71      0.75      0.73       781
   offensive       0.54      0.47      0.50       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.68      1922
   macro avg       0.50      0.50      0.50      1922
weighted avg       0.67      0.68      0.67      1922
",0.6783211932015261,0.6706729101630244,0.673953488372093,0.7003383276945384,0.6868926285849727,"{'african': 0.7807807807807807, 'arab': 0.7066666666666667, 'asian': 0.6451612903225806, 'caucasian': 0.2962962962962963, 'christian': 0.0, 'hispanic': 0.7666666666666667, 'buddhism': 0, 'hindu': 0, 'islam': 0.7954545454545454, 'jewish': 0.8382352941176471, 'men': 0.0, 'women': 0.5099337748344371, 'heterosexual': 0, 'homosexual': 0.7149321266968326, 'indigenous': 0, 'refugee': 0.6153846153846154, 'immigrant': 0, 'disability': 0.0, 'none': 0.7014446227929374}","{'african': 0.8387096774193549, 'arab': 0.6883116883116883, 'asian': 0.5882352941176471, 'caucasian': 0.16666666666666666, 'christian': 0.0, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.8578431372549019, 'jewish': 0.9193548387096774, 'men': 0.0, 'women': 0.5099337748344371, 'heterosexual': 0, 'homosexual': 0.8681318681318682, 'indigenous': 0, 'refugee': 0.7272727272727273, 'immigrant': 0, 'disability': 0.0, 'none': 0.6541916167664671}","{'african': 0.8087091757387248, 'arab': 0.6973684210526315, 'asian': 0.6153846153846154, 'caucasian': 0.21333333333333335, 'christian': 0, 'hispanic': 0.7076923076923077, 'buddhism': 0, 'hindu': 0, 'islam': 0.8254716981132074, 'jewish': 0.8769230769230769, 'men': 0, 'women': 0.5099337748344371, 'heterosexual': 0, 'homosexual': 0.7841191066997518, 'indigenous': 0, 'refugee': 0.6666666666666667, 'immigrant': 0, 'disability': 0, 'none': 0.6769945778466306}",0.38794508842178976,0.3934628498225417,0.38855772390975707
checkpoints/mistral_attention/checkpoint-16835,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.71      0.74       593
      normal       0.69      0.75      0.72       781
   offensive       0.51      0.50      0.50       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.66      1922
   macro avg       0.49      0.49      0.49      1922
weighted avg       0.66      0.66      0.66      1922
",0.6841137703780783,0.6678806798473812,0.680952380952381,0.6911551474142098,0.6860158311345648,"{'african': 0.8166666666666667, 'arab': 0.7, 'asian': 0.5277777777777778, 'caucasian': 0.3939393939393939, 'christian': 0.3333333333333333, 'hispanic': 0.7297297297297297, 'buddhism': 0, 'hindu': 0, 'islam': 0.8144329896907216, 'jewish': 0.8585858585858586, 'men': 0.2, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.7650602409638554, 'indigenous': 0, 'refugee': 0.625, 'immigrant': 0, 'disability': 0.0, 'none': 0.6657183499288762}","{'african': 0.7903225806451613, 'arab': 0.7272727272727273, 'asian': 0.5588235294117647, 'caucasian': 0.2708333333333333, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.7745098039215687, 'jewish': 0.9139784946236559, 'men': 0.3333333333333333, 'women': 0.4900662251655629, 'heterosexual': 0, 'homosexual': 0.6978021978021978, 'indigenous': 0, 'refugee': 0.7142857142857143, 'immigrant': 0, 'disability': 0.0, 'none': 0.7005988023952096}","{'african': 0.8032786885245902, 'arab': 0.7133757961783439, 'asian': 0.5428571428571428, 'caucasian': 0.32098765432098764, 'christian': 0.3333333333333333, 'hispanic': 0.75, 'buddhism': 0, 'hindu': 0, 'islam': 0.793969849246231, 'jewish': 0.8854166666666665, 'men': 0.25, 'women': 0.4949832775919732, 'heterosexual': 0, 'homosexual': 0.7298850574712644, 'indigenous': 0, 'refugee': 0.6666666666666666, 'immigrant': 0, 'disability': 0, 'none': 0.6827133479212254}",0.41738128108506384,0.4250836129974807,0.41934039372518034
checkpoints/mistral_attention/checkpoint-1924,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.78      0.79      0.79       593
      normal       0.81      0.65      0.72       781
   offensive       0.52      0.66      0.58       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.53      0.52      0.52      1922
weighted avg       0.72      0.70      0.70      1922
",0.6917533818938604,0.6790149150190773,0.6879962634283046,0.7119381343644272,0.6997624703087887,"{'african': 0.7450980392156863, 'arab': 0.7, 'asian': 0.6097560975609756, 'caucasian': 0.43859649122807015, 'christian': 0.0, 'hispanic': 0.7419354838709677, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.8194444444444444, 'jewish': 0.8599033816425121, 'men': 0.3, 'women': 0.46551724137931033, 'heterosexual': 0, 'homosexual': 0.7058823529411765, 'indigenous': 0, 'refugee': 0.6190476190476191, 'immigrant': 0, 'disability': 0.0, 'none': 0.7538461538461538}","{'african': 0.8580645161290322, 'arab': 0.7272727272727273, 'asian': 0.7352941176470589, 'caucasian': 0.5208333333333334, 'christian': 0.0, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.8676470588235294, 'jewish': 0.956989247311828, 'men': 0.5, 'women': 0.5364238410596026, 'heterosexual': 0, 'homosexual': 0.9230769230769231, 'indigenous': 0, 'refugee': 0.8441558441558441, 'immigrant': 0, 'disability': 0.0, 'none': 0.5868263473053892}","{'african': 0.7976011994002998, 'arab': 0.7133757961783439, 'asian': 0.6666666666666666, 'caucasian': 0.4761904761904762, 'christian': 0, 'hispanic': 0.6969696969696969, 'buddhism': 0, 'hindu': 0, 'islam': 0.8428571428571429, 'jewish': 0.905852417302799, 'men': 0.37499999999999994, 'women': 0.4984615384615384, 'heterosexual': 0, 'homosexual': 0.8000000000000002, 'indigenous': 0, 'refugee': 0.7142857142857143, 'immigrant': 0, 'disability': 0, 'none': 0.6599326599326599}",0.40836985816720617,0.45861720069779616,0.4287996478023861
checkpoints/mistral_attention/checkpoint-19240,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.76      0.74      0.75       593
      normal       0.71      0.75      0.73       781
   offensive       0.53      0.51      0.52       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.68      1922
   macro avg       0.50      0.50      0.50      1922
weighted avg       0.67      0.68      0.67      1922
",0.6851493979485656,0.6795872355185572,0.6826208178438662,0.7100048332527791,0.6960435915659796,"{'african': 0.8071895424836601, 'arab': 0.6867469879518072, 'asian': 0.55, 'caucasian': 0.43902439024390244, 'christian': 0.0, 'hispanic': 0.7837837837837838, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.8316326530612245, 'jewish': 0.8571428571428571, 'men': 0.6666666666666666, 'women': 0.4632768361581921, 'heterosexual': 0, 'homosexual': 0.7352941176470589, 'indigenous': 0, 'refugee': 0.6853932584269663, 'immigrant': 0, 'disability': 0.16666666666666666, 'none': 0.6710914454277286}","{'african': 0.7967741935483871, 'arab': 0.7402597402597403, 'asian': 0.6470588235294118, 'caucasian': 0.375, 'christian': 0.0, 'hispanic': 0.8285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.7990196078431373, 'jewish': 0.9032258064516129, 'men': 0.3333333333333333, 'women': 0.543046357615894, 'heterosexual': 0, 'homosexual': 0.8241758241758241, 'indigenous': 0, 'refugee': 0.7922077922077922, 'immigrant': 0, 'disability': 0.25, 'none': 0.6811377245508982}","{'african': 0.801948051948052, 'arab': 0.7125, 'asian': 0.5945945945945946, 'caucasian': 0.40449438202247195, 'christian': 0, 'hispanic': 0.8055555555555555, 'buddhism': 0, 'hindu': 0, 'islam': 0.8150000000000002, 'jewish': 0.8795811518324608, 'men': 0.4444444444444444, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.7772020725388602, 'indigenous': 0, 'refugee': 0.7349397590361446, 'immigrant': 0, 'disability': 0.2, 'none': 0.6760772659732541}",0.4391531160873955,0.44809529642565576,0.43928090936557046
checkpoints/mistral_attention/checkpoint-21645,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.70      0.74       593
      normal       0.71      0.69      0.70       781
   offensive       0.49      0.56      0.52       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.66      1922
   macro avg       0.49      0.49      0.49      1922
weighted avg       0.67      0.66      0.66      1922
",0.6780263614290669,0.6531304197016995,0.6793930494371023,0.6708554857419043,0.6750972762645915,"{'african': 0.8027210884353742, 'arab': 0.7424242424242424, 'asian': 0.5, 'caucasian': 0.358974358974359, 'christian': 0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.8177083333333334, 'jewish': 0.859375, 'men': 0.5, 'women': 0.53125, 'heterosexual': 0, 'homosexual': 0.7135416666666666, 'indigenous': 0, 'refugee': 0.6805555555555556, 'immigrant': 0, 'disability': 0.0, 'none': 0.6528571428571428}","{'african': 0.7612903225806451, 'arab': 0.6363636363636364, 'asian': 0.6470588235294118, 'caucasian': 0.2916666666666667, 'christian': 0.0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.7696078431372549, 'jewish': 0.8870967741935484, 'men': 0.16666666666666666, 'women': 0.4503311258278146, 'heterosexual': 0, 'homosexual': 0.7527472527472527, 'indigenous': 0, 'refugee': 0.6363636363636364, 'immigrant': 0, 'disability': 0.0, 'none': 0.6841317365269461}","{'african': 0.7814569536423841, 'arab': 0.6853146853146853, 'asian': 0.5641025641025642, 'caucasian': 0.3218390804597701, 'christian': 0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.792929292929293, 'jewish': 0.8730158730158729, 'men': 0.25, 'women': 0.4874551971326164, 'heterosexual': 0, 'homosexual': 0.732620320855615, 'indigenous': 0, 'refugee': 0.6577181208053691, 'immigrant': 0, 'disability': 0, 'none': 0.6681286549707602}",0.4129011407347874,0.38784414580619814,0.39475236994437984
checkpoints/mistral_attention/checkpoint-2405,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.78      0.69      0.74       593
      normal       0.77      0.66      0.71       781
   offensive       0.48      0.64      0.55       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.67      1922
   macro avg       0.51      0.50      0.50      1922
weighted avg       0.69      0.67      0.67      1922
",0.6710024280263615,0.6774366978841484,0.6636568848758465,0.7104881585306911,0.6862745098039216,"{'african': 0.8096774193548387, 'arab': 0.7222222222222222, 'asian': 0.6, 'caucasian': 0.5517241379310345, 'christian': 0.0, 'hispanic': 0.717948717948718, 'buddhism': 0, 'hindu': 0, 'islam': 0.817351598173516, 'jewish': 0.8783068783068783, 'men': 0.4, 'women': 0.4512820512820513, 'heterosexual': 0, 'homosexual': 0.7315789473684211, 'indigenous': 0, 'refugee': 0.5833333333333334, 'immigrant': 0, 'disability': 0.07692307692307693, 'none': 0.6860119047619048}","{'african': 0.8096774193548387, 'arab': 0.6753246753246753, 'asian': 0.6176470588235294, 'caucasian': 0.3333333333333333, 'christian': 0.0, 'hispanic': 0.8, 'buddhism': 0, 'hindu': 0, 'islam': 0.8774509803921569, 'jewish': 0.8924731182795699, 'men': 0.3333333333333333, 'women': 0.5827814569536424, 'heterosexual': 0, 'homosexual': 0.7637362637362637, 'indigenous': 0, 'refugee': 0.7272727272727273, 'immigrant': 0, 'disability': 0.25, 'none': 0.6901197604790419}","{'african': 0.8096774193548387, 'arab': 0.6979865771812082, 'asian': 0.608695652173913, 'caucasian': 0.4155844155844156, 'christian': 0, 'hispanic': 0.7567567567567569, 'buddhism': 0, 'hindu': 0, 'islam': 0.8463356973995272, 'jewish': 0.8853333333333333, 'men': 0.3636363636363636, 'women': 0.5086705202312138, 'heterosexual': 0, 'homosexual': 0.7473118279569892, 'indigenous': 0, 'refugee': 0.6473988439306358, 'immigrant': 0, 'disability': 0.11764705882352941, 'none': 0.6880597014925373}",0.4224400151371576,0.43963948038332173,0.4259523246239611
checkpoints/mistral_attention/checkpoint-24050,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.73      0.78      0.75       593
      normal       0.70      0.76      0.73       781
   offensive       0.55      0.45      0.49       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.67      1922
   macro avg       0.49      0.50      0.49      1922
weighted avg       0.67      0.67      0.67      1922
",0.6877384668747831,0.67386403052376,0.6846081208687441,0.7008216529724505,0.6926200143300694,"{'african': 0.7556179775280899, 'arab': 0.7272727272727273, 'asian': 0.5476190476190477, 'caucasian': 0.46875, 'christian': 0.3333333333333333, 'hispanic': 0.7352941176470589, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.8168316831683168, 'jewish': 0.7758620689655172, 'men': 0.0, 'women': 0.5333333333333333, 'heterosexual': 0, 'homosexual': 0.7106598984771574, 'indigenous': 0, 'refugee': 0.7272727272727273, 'immigrant': 0, 'disability': 0.3333333333333333, 'none': 0.7023026315789473}","{'african': 0.867741935483871, 'arab': 0.7272727272727273, 'asian': 0.6764705882352942, 'caucasian': 0.3125, 'christian': 0.3333333333333333, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8088235294117647, 'jewish': 0.967741935483871, 'men': 0.0, 'women': 0.5298013245033113, 'heterosexual': 0, 'homosexual': 0.7692307692307693, 'indigenous': 0, 'refugee': 0.6233766233766234, 'immigrant': 0, 'disability': 0.25, 'none': 0.6392215568862275}","{'african': 0.8078078078078078, 'arab': 0.7272727272727273, 'asian': 0.605263157894737, 'caucasian': 0.375, 'christian': 0.3333333333333333, 'hispanic': 0.7246376811594202, 'buddhism': 0, 'hindu': 0, 'islam': 0.8128078817733989, 'jewish': 0.861244019138756, 'men': 0, 'women': 0.53156146179402, 'heterosexual': 0, 'homosexual': 0.7387862796833774, 'indigenous': 0, 'refugee': 0.6713286713286714, 'immigrant': 0, 'disability': 0.28571428571428575, 'none': 0.6692789968652039}",0.4298675199752415,0.43262105460544775,0.42863348967188103
checkpoints/mistral_attention/checkpoint-26455,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.81      0.70      0.75       593
      normal       0.68      0.78      0.72       781
   offensive       0.53      0.49      0.51       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.67      1922
   macro avg       0.50      0.49      0.50      1922
weighted avg       0.67      0.67      0.67      1922
",0.6809313215400624,0.6614290669441554,0.6811804547653604,0.680521991300145,0.6808510638297872,"{'african': 0.8122866894197952, 'arab': 0.7301587301587301, 'asian': 0.5142857142857142, 'caucasian': 0.47368421052631576, 'christian': 0, 'hispanic': 0.7931034482758621, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.8465608465608465, 'jewish': 0.8633879781420765, 'men': 0.0, 'women': 0.5172413793103449, 'heterosexual': 0, 'homosexual': 0.7411764705882353, 'indigenous': 0, 'refugee': 0.7, 'immigrant': 0, 'disability': 0.0, 'none': 0.6105137395459976}","{'african': 0.7677419354838709, 'arab': 0.5974025974025974, 'asian': 0.5294117647058824, 'caucasian': 0.375, 'christian': 0.0, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.7843137254901961, 'jewish': 0.8494623655913979, 'men': 0.0, 'women': 0.3973509933774834, 'heterosexual': 0, 'homosexual': 0.6923076923076923, 'indigenous': 0, 'refugee': 0.5454545454545454, 'immigrant': 0, 'disability': 0.0, 'none': 0.7649700598802395}","{'african': 0.7893864013266998, 'arab': 0.657142857142857, 'asian': 0.5217391304347826, 'caucasian': 0.4186046511627907, 'christian': 0, 'hispanic': 0.71875, 'buddhism': 0, 'hindu': 0, 'islam': 0.8142493638676844, 'jewish': 0.8563685636856369, 'men': 0, 'women': 0.44943820224719105, 'heterosexual': 0, 'homosexual': 0.7159090909090909, 'indigenous': 0, 'refugee': 0.6131386861313869, 'immigrant': 0, 'disability': 0, 'none': 0.6790697674418604}",0.40012627404283785,0.3663451861493033,0.38072614286052525
