Checkpoint Path,Classification Report,Average Precision,Average Recall,Overall Precision,Overall Recall,F1 Score,Per Label Precision,Per Label Recall,Per Label F1,Macro Precision,Macro Recall,Macro F1 Score
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-14,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.54      0.53      0.54       593
      normal       0.72      0.66      0.69       781
   offensive       0.36      0.41      0.38       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.55      1922
   macro avg       0.41      0.40      0.40      1922
weighted avg       0.56      0.55      0.56      1922
",0.6379205688518903,0.6268296912937911,0.6314797360980208,0.6476558724021266,0.6394655213552852,"{'african': 0.7071240105540897, 'arab': 0.6976744186046512, 'asian': 0.6451612903225806, 'caucasian': 0.3333333333333333, 'christian': 0, 'hispanic': 0.5675675675675675, 'buddhism': 0, 'hindu': 0, 'islam': 0.7568807339449541, 'jewish': 0.8092783505154639, 'men': 0, 'women': 0.41935483870967744, 'heterosexual': 0, 'homosexual': 0.7341040462427746, 'indigenous': 0, 'refugee': 0.42857142857142855, 'immigrant': 0, 'disability': 0.0, 'none': 0.6060606060606061}","{'african': 0.864516129032258, 'arab': 0.38961038961038963, 'asian': 0.5882352941176471, 'caucasian': 0.0625, 'christian': 0.0, 'hispanic': 0.6, 'buddhism': 0, 'hindu': 0, 'islam': 0.8088235294117647, 'jewish': 0.8440860215053764, 'men': 0.0, 'women': 0.5165562913907285, 'heterosexual': 0, 'homosexual': 0.6978021978021978, 'indigenous': 0, 'refugee': 0.03896103896103896, 'immigrant': 0, 'disability': 0.0, 'none': 0.688622754491018}","{'african': 0.7779390420899854, 'arab': 0.5, 'asian': 0.6153846153846154, 'caucasian': 0.10526315789473684, 'christian': 0, 'hispanic': 0.5833333333333333, 'buddhism': 0, 'hindu': 0, 'islam': 0.7819905213270142, 'jewish': 0.8263157894736842, 'men': 0, 'women': 0.4629080118694362, 'heterosexual': 0, 'homosexual': 0.7154929577464789, 'indigenous': 0, 'refugee': 0.07142857142857142, 'immigrant': 0, 'disability': 0, 'none': 0.6447091800981078}",0.3529005591803751,0.32103756033275893,0.3202507989813665
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-19,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.42      0.54       593
      normal       0.69      0.80      0.74       781
   offensive       0.38      0.48      0.43       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.59      1922
   macro avg       0.46      0.43      0.43      1922
weighted avg       0.63      0.59      0.59      1922
",0.6832292750607005,0.644432882414152,0.6847492323439099,0.6466892218463025,0.6651752423564504,"{'african': 0.7942122186495176, 'arab': 0.7608695652173914, 'asian': 0.5555555555555556, 'caucasian': 0.35714285714285715, 'christian': 0, 'hispanic': 0.8636363636363636, 'buddhism': 0, 'hindu': 0, 'islam': 0.8109756097560976, 'jewish': 0.8406593406593407, 'men': 0, 'women': 0.6326530612244898, 'heterosexual': 0, 'homosexual': 0.8116883116883117, 'indigenous': 0, 'refugee': 0.5454545454545454, 'immigrant': 0, 'disability': 0, 'none': 0.5886287625418061}","{'african': 0.7967741935483871, 'arab': 0.45454545454545453, 'asian': 0.5882352941176471, 'caucasian': 0.10416666666666667, 'christian': 0.0, 'hispanic': 0.5428571428571428, 'buddhism': 0, 'hindu': 0, 'islam': 0.6519607843137255, 'jewish': 0.8225806451612904, 'men': 0.0, 'women': 0.2052980132450331, 'heterosexual': 0, 'homosexual': 0.6868131868131868, 'indigenous': 0, 'refugee': 0.5454545454545454, 'immigrant': 0, 'disability': 0.0, 'none': 0.7904191616766467}","{'african': 0.7954911433172303, 'arab': 0.5691056910569106, 'asian': 0.5714285714285715, 'caucasian': 0.16129032258064516, 'christian': 0, 'hispanic': 0.6666666666666666, 'buddhism': 0, 'hindu': 0, 'islam': 0.7228260869565218, 'jewish': 0.8315217391304348, 'men': 0, 'women': 0.31, 'heterosexual': 0, 'homosexual': 0.7440476190476191, 'indigenous': 0, 'refugee': 0.5454545454545454, 'immigrant': 0, 'disability': 0, 'none': 0.6747603833865815}",0.39797243113296193,0.3257423730736698,0.34697856679082767
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-24,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.74      0.70      0.72       593
      normal       0.67      0.86      0.75       781
   offensive       0.49      0.32      0.39       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.66      1922
   macro avg       0.47      0.47      0.46      1922
weighted avg       0.64      0.66      0.64      1922
",0.6866111689212626,0.6610128338536247,0.6915422885572139,0.6718221362977284,0.6815395930375092,"{'african': 0.819935691318328, 'arab': 0.6964285714285714, 'asian': 0.75, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.8518518518518519, 'buddhism': 0, 'hindu': 0, 'islam': 0.7989690721649485, 'jewish': 0.9011627906976745, 'men': 0, 'women': 0.5952380952380952, 'heterosexual': 0, 'homosexual': 0.8226950354609929, 'indigenous': 0, 'refugee': 0.6904761904761905, 'immigrant': 0, 'disability': 0, 'none': 0.5763747454175153}","{'african': 0.8225806451612904, 'arab': 0.5064935064935064, 'asian': 0.5294117647058824, 'caucasian': 0.10416666666666667, 'christian': 0.0, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.7598039215686274, 'jewish': 0.8333333333333334, 'men': 0.0, 'women': 0.16556291390728478, 'heterosexual': 0, 'homosexual': 0.6373626373626373, 'indigenous': 0, 'refugee': 0.37662337662337664, 'immigrant': 0, 'disability': 0.0, 'none': 0.8473053892215568}","{'african': 0.821256038647343, 'arab': 0.5864661654135338, 'asian': 0.6206896551724139, 'caucasian': 0.1724137931034483, 'christian': 0, 'hispanic': 0.7419354838709677, 'buddhism': 0, 'hindu': 0, 'islam': 0.7788944723618091, 'jewish': 0.8659217877094973, 'men': 0, 'women': 0.2590673575129534, 'heterosexual': 0, 'homosexual': 0.718266253869969, 'indigenous': 0, 'refugee': 0.48739495798319327, 'immigrant': 0, 'disability': 0, 'none': 0.686060606060606}",0.4212174760028509,0.3284098427466852,0.35465087219503877
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-29,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.59      0.67       593
      normal       0.64      0.90      0.75       781
   offensive       0.44      0.30      0.35       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.63      1922
   macro avg       0.46      0.45      0.44      1922
weighted avg       0.62      0.63      0.61      1922
",0.6592958723551856,0.6334373916059659,0.6646676661669165,0.6428226196230062,0.6535626535626534,"{'african': 0.8582375478927203, 'arab': 0.8222222222222222, 'asian': 0.6521739130434783, 'caucasian': 0.0, 'christian': 0, 'hispanic': 0.875, 'buddhism': 0, 'hindu': 0, 'islam': 0.8409090909090909, 'jewish': 0.8784530386740331, 'men': 0, 'women': 0.6190476190476191, 'heterosexual': 0, 'homosexual': 0.7584269662921348, 'indigenous': 0, 'refugee': 0.6382978723404256, 'immigrant': 0, 'disability': 0, 'none': 0.544243577545195}","{'african': 0.7225806451612903, 'arab': 0.4805194805194805, 'asian': 0.4411764705882353, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.6, 'buddhism': 0, 'hindu': 0, 'islam': 0.5441176470588235, 'jewish': 0.8548387096774194, 'men': 0.0, 'women': 0.17218543046357615, 'heterosexual': 0, 'homosexual': 0.7417582417582418, 'indigenous': 0, 'refugee': 0.38961038961038963, 'immigrant': 0, 'disability': 0.0, 'none': 0.8562874251497006}","{'african': 0.7845884413309983, 'arab': 0.6065573770491802, 'asian': 0.5263157894736842, 'caucasian': 0, 'christian': 0, 'hispanic': 0.711864406779661, 'buddhism': 0, 'hindu': 0, 'islam': 0.6607142857142857, 'jewish': 0.8664850136239782, 'men': 0, 'women': 0.2694300518134715, 'heterosexual': 0, 'homosexual': 0.7499999999999999, 'indigenous': 0, 'refugee': 0.48387096774193544, 'immigrant': 0, 'disability': 0, 'none': 0.6655031995346131}",0.39405325515615364,0.3054249705256398,0.33291208068746353
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-34,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.82      0.60      0.70       593
      normal       0.75      0.72      0.74       781
   offensive       0.46      0.62      0.52       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.66      1922
   macro avg       0.51      0.49      0.49      1922
weighted avg       0.69      0.66      0.66      1922
",0.696236559139785,0.6685917447103711,0.6992592592592592,0.6843885935234413,0.6917440156326331,"{'african': 0.7794117647058824, 'arab': 0.7384615384615385, 'asian': 0.71875, 'caucasian': 0.3333333333333333, 'christian': 0, 'hispanic': 0.8064516129032258, 'buddhism': 0, 'hindu': 0, 'islam': 0.794392523364486, 'jewish': 0.8756756756756757, 'men': 0, 'women': 0.5476190476190477, 'heterosexual': 0, 'homosexual': 0.8, 'indigenous': 0, 'refugee': 0.6097560975609756, 'immigrant': 0, 'disability': 0, 'none': 0.6330749354005168}","{'african': 0.8548387096774194, 'arab': 0.6233766233766234, 'asian': 0.6764705882352942, 'caucasian': 0.10416666666666667, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8333333333333334, 'jewish': 0.8709677419354839, 'men': 0.0, 'women': 0.45695364238410596, 'heterosexual': 0, 'homosexual': 0.7032967032967034, 'indigenous': 0, 'refugee': 0.3246753246753247, 'immigrant': 0, 'disability': 0.0, 'none': 0.7335329341317365}","{'african': 0.8153846153846154, 'arab': 0.676056338028169, 'asian': 0.696969696969697, 'caucasian': 0.15873015873015875, 'christian': 0, 'hispanic': 0.7575757575757576, 'buddhism': 0, 'hindu': 0, 'islam': 0.8133971291866029, 'jewish': 0.8733153638814016, 'men': 0, 'women': 0.4981949458483755, 'heterosexual': 0, 'homosexual': 0.7485380116959066, 'indigenous': 0, 'refugee': 0.423728813559322, 'immigrant': 0, 'disability': 0, 'none': 0.6796116504854368}",0.40194350152761477,0.3629419990525477,0.3758685516497601
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-39,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.79      0.72      0.75       593
      normal       0.69      0.86      0.76       781
   offensive       0.55      0.42      0.48       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.51      0.50      0.50      1922
weighted avg       0.68      0.69      0.68      1922
",0.6836541796739507,0.6639611515782171,0.6880823933300637,0.6781053649105848,0.6830574488802337,"{'african': 0.8741007194244604, 'arab': 0.7258064516129032, 'asian': 0.7307692307692307, 'caucasian': 0.6, 'christian': 0, 'hispanic': 0.7941176470588235, 'buddhism': 0, 'hindu': 0, 'islam': 0.8441558441558441, 'jewish': 0.9107142857142857, 'men': 0, 'women': 0.5492957746478874, 'heterosexual': 0, 'homosexual': 0.8253012048192772, 'indigenous': 0, 'refugee': 0.59375, 'immigrant': 0, 'disability': 0, 'none': 0.5733197556008147}","{'african': 0.7838709677419354, 'arab': 0.5844155844155844, 'asian': 0.5588235294117647, 'caucasian': 0.1875, 'christian': 0.0, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.6372549019607843, 'jewish': 0.8225806451612904, 'men': 0.0, 'women': 0.2582781456953642, 'heterosexual': 0, 'homosexual': 0.7527472527472527, 'indigenous': 0, 'refugee': 0.4935064935064935, 'immigrant': 0, 'disability': 0.0, 'none': 0.842814371257485}","{'african': 0.826530612244898, 'arab': 0.6474820143884892, 'asian': 0.6333333333333334, 'caucasian': 0.2857142857142857, 'christian': 0, 'hispanic': 0.782608695652174, 'buddhism': 0, 'hindu': 0, 'islam': 0.7262569832402235, 'jewish': 0.864406779661017, 'men': 0, 'women': 0.3513513513513513, 'heterosexual': 0, 'homosexual': 0.7873563218390804, 'indigenous': 0, 'refugee': 0.5390070921985816, 'immigrant': 0, 'disability': 0, 'none': 0.6824242424242425}",0.42217531125281726,0.3522747612277119,0.37507745852882507
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-4,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.50      0.82      0.62       593
      normal       0.61      0.65      0.63       781
   offensive       0.38      0.08      0.13       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.54      1922
   macro avg       0.37      0.39      0.35      1922
weighted avg       0.51      0.54      0.48      1922
",0.4810960804717308,0.45136142906694415,0.482225656877898,0.4523924601256646,0.46683291770573565,"{'african': 0.6852941176470588, 'arab': 0.75, 'asian': 0.5384615384615384, 'caucasian': 1.0, 'christian': 0.25, 'hispanic': 0.6666666666666666, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.6964285714285714, 'jewish': 0.7066115702479339, 'men': 0, 'women': 0.5319148936170213, 'heterosexual': 0, 'homosexual': 0.7714285714285715, 'indigenous': 0.0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.5670103092783505}","{'african': 0.7516129032258064, 'arab': 0.19480519480519481, 'asian': 0.6176470588235294, 'caucasian': 0.020833333333333332, 'christian': 0.3333333333333333, 'hispanic': 0.5142857142857142, 'buddhism': 0, 'hindu': 0, 'islam': 0.19117647058823528, 'jewish': 0.9193548387096774, 'men': 0.0, 'women': 0.16556291390728478, 'heterosexual': 0, 'homosexual': 0.14835164835164835, 'indigenous': 0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.5763473053892215}","{'african': 0.7169230769230768, 'arab': 0.309278350515464, 'asian': 0.5753424657534247, 'caucasian': 0.04081632653061225, 'christian': 0.28571428571428575, 'hispanic': 0.5806451612903226, 'buddhism': 0, 'hindu': 0, 'islam': 0.29999999999999993, 'jewish': 0.7990654205607475, 'men': 0, 'women': 0.25252525252525254, 'heterosexual': 0, 'homosexual': 0.2488479262672811, 'indigenous': 0, 'refugee': 0, 'immigrant': 0, 'disability': 0, 'none': 0.5716406829992576}",0.3770429599355638,0.23333214288173573,0.24635783942524866
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-44,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.80      0.74      0.77       593
      normal       0.69      0.89      0.77       781
   offensive       0.60      0.41      0.48       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.52      0.51      0.51      1922
weighted avg       0.70      0.70      0.69      1922
",0.691250433576136,0.6682448838015956,0.6956092747903305,0.681488641855969,0.6884765625,"{'african': 0.8483754512635379, 'arab': 0.8125, 'asian': 0.782608695652174, 'caucasian': 0.6666666666666666, 'christian': 0, 'hispanic': 0.8275862068965517, 'buddhism': 0, 'hindu': 0, 'islam': 0.8418079096045198, 'jewish': 0.898876404494382, 'men': 0, 'women': 0.5833333333333334, 'heterosexual': 0, 'homosexual': 0.8581081081081081, 'indigenous': 0, 'refugee': 0.76, 'immigrant': 0, 'disability': 0, 'none': 0.5741106719367589}","{'african': 0.7580645161290323, 'arab': 0.5064935064935064, 'asian': 0.5294117647058824, 'caucasian': 0.125, 'christian': 0.0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.7303921568627451, 'jewish': 0.8602150537634409, 'men': 0.0, 'women': 0.32450331125827814, 'heterosexual': 0, 'homosexual': 0.6978021978021978, 'indigenous': 0, 'refugee': 0.24675324675324675, 'immigrant': 0, 'disability': 0.0, 'none': 0.8697604790419161}","{'african': 0.8006814310051107, 'arab': 0.6239999999999999, 'asian': 0.631578947368421, 'caucasian': 0.21052631578947367, 'christian': 0, 'hispanic': 0.75, 'buddhism': 0, 'hindu': 0, 'islam': 0.7821522309711286, 'jewish': 0.8791208791208791, 'men': 0, 'women': 0.41702127659574467, 'heterosexual': 0, 'homosexual': 0.7696969696969697, 'indigenous': 0, 'refugee': 0.37254901960784315, 'immigrant': 0, 'disability': 0, 'none': 0.6916666666666667}",0.44494597094505434,0.3333742378170806,0.3646838808853808
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-49,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.75      0.83      0.79       593
      normal       0.70      0.85      0.77       781
   offensive       0.63      0.37      0.47       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.71      1922
   macro avg       0.52      0.51      0.51      1922
weighted avg       0.70      0.71      0.69      1922
",0.6921522719389526,0.6771245230662505,0.6948742746615088,0.694538424359594,0.6947063089195068,"{'african': 0.8533333333333334, 'arab': 0.7058823529411765, 'asian': 0.6923076923076923, 'caucasian': 0.6, 'christian': 0, 'hispanic': 0.7878787878787878, 'buddhism': 0, 'hindu': 0, 'islam': 0.847682119205298, 'jewish': 0.9085714285714286, 'men': 0, 'women': 0.5421686746987951, 'heterosexual': 0, 'homosexual': 0.8058823529411765, 'indigenous': 0, 'refugee': 0.6440677966101694, 'immigrant': 0, 'disability': 0, 'none': 0.5859938208032955}","{'african': 0.8258064516129032, 'arab': 0.6233766233766234, 'asian': 0.5294117647058824, 'caucasian': 0.25, 'christian': 0.0, 'hispanic': 0.7428571428571429, 'buddhism': 0, 'hindu': 0, 'islam': 0.6274509803921569, 'jewish': 0.8548387096774194, 'men': 0.0, 'women': 0.2980132450331126, 'heterosexual': 0, 'homosexual': 0.7527472527472527, 'indigenous': 0, 'refugee': 0.4935064935064935, 'immigrant': 0, 'disability': 0.0, 'none': 0.8517964071856288}","{'african': 0.839344262295082, 'arab': 0.6620689655172415, 'asian': 0.5999999999999999, 'caucasian': 0.35294117647058826, 'christian': 0, 'hispanic': 0.7647058823529412, 'buddhism': 0, 'hindu': 0, 'islam': 0.7211267605633803, 'jewish': 0.8808864265927978, 'men': 0, 'women': 0.38461538461538464, 'heterosexual': 0, 'homosexual': 0.7784090909090909, 'indigenous': 0, 'refugee': 0.5588235294117646, 'immigrant': 0, 'disability': 0, 'none': 0.6943258084197681}",0.4196720189100607,0.36051605637340084,0.38090775195516
pfl-research/benchmarks/hf_checkpoint/final_fl/final_fl/checkpoint-54,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.79      0.73      0.76       593
      normal       0.69      0.88      0.78       781
   offensive       0.59      0.41      0.49       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.52      0.51      0.51      1922
weighted avg       0.69      0.70      0.69      1922
",0.6971037114117239,0.6741415192507804,0.7016765285996055,0.6877718704688255,0.6946546253356114,"{'african': 0.8453237410071942, 'arab': 0.8125, 'asian': 0.7727272727272727, 'caucasian': 0.6363636363636364, 'christian': 0, 'hispanic': 0.8275862068965517, 'buddhism': 0, 'hindu': 0, 'islam': 0.861878453038674, 'jewish': 0.9117647058823529, 'men': 0, 'women': 0.5909090909090909, 'heterosexual': 0, 'homosexual': 0.8776978417266187, 'indigenous': 0, 'refugee': 0.7209302325581395, 'immigrant': 0, 'disability': 0, 'none': 0.5825825825825826}","{'african': 0.7580645161290323, 'arab': 0.5064935064935064, 'asian': 0.5, 'caucasian': 0.14583333333333334, 'christian': 0.0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.7647058823529411, 'jewish': 0.8333333333333334, 'men': 0.0, 'women': 0.3443708609271523, 'heterosexual': 0, 'homosexual': 0.6703296703296703, 'indigenous': 0, 'refugee': 0.4025974025974026, 'immigrant': 0, 'disability': 0.0, 'none': 0.8712574850299402}","{'african': 0.7993197278911566, 'arab': 0.6239999999999999, 'asian': 0.6071428571428571, 'caucasian': 0.23728813559322035, 'christian': 0, 'hispanic': 0.75, 'buddhism': 0, 'hindu': 0, 'islam': 0.8103896103896103, 'jewish': 0.8707865168539325, 'men': 0, 'women': 0.4351464435146443, 'heterosexual': 0, 'homosexual': 0.7601246105919003, 'indigenous': 0, 'refugee': 0.5166666666666667, 'immigrant': 0, 'disability': 0, 'none': 0.698260347930414}",0.4442244086153745,0.34119475138108407,0.37416446929338953
