Checkpoint Path,Classification Report,Average Precision,Average Recall,Overall Precision,Overall Recall,F1 Score,Per Label Precision,Per Label Recall,Per Label F1,Macro Precision,Macro Recall,Macro F1 Score
checkpoints/mistral_regular/checkpoint-12025,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.79      0.73      0.76       593
      normal       0.74      0.74      0.74       781
   offensive       0.51      0.56      0.54       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.68      1922
   macro avg       0.51      0.51      0.51      1922
weighted avg       0.69      0.68      0.69      1922
",0.685171696149844,0.6715574054804022,0.684433962264151,0.7013049782503625,0.6927667701121987,"{'african': 0.8424657534246576, 'arab': 0.6588235294117647, 'asian': 0.6285714285714286, 'caucasian': 0.5185185185185185, 'christian': 0.0, 'hispanic': 0.78125, 'buddhism': 0, 'hindu': 0, 'islam': 0.8076923076923077, 'jewish': 0.875, 'men': 0.0, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.7085201793721974, 'indigenous': 0, 'refugee': 0.7166666666666667, 'immigrant': 0, 'disability': 0.0, 'none': 0.6993865030674846}","{'african': 0.7935483870967742, 'arab': 0.7272727272727273, 'asian': 0.6470588235294118, 'caucasian': 0.2916666666666667, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8235294117647058, 'jewish': 0.9032258064516129, 'men': 0.0, 'women': 0.543046357615894, 'heterosexual': 0, 'homosexual': 0.8681318681318682, 'indigenous': 0, 'refugee': 0.5584415584415584, 'immigrant': 0, 'disability': 0.0, 'none': 0.6826347305389222}","{'african': 0.8172757475083057, 'arab': 0.691358024691358, 'asian': 0.6376811594202899, 'caucasian': 0.37333333333333335, 'christian': 0, 'hispanic': 0.7462686567164178, 'buddhism': 0, 'hindu': 0, 'islam': 0.8155339805825242, 'jewish': 0.8888888888888888, 'men': 0, 'women': 0.5206349206349206, 'heterosexual': 0, 'homosexual': 0.780246913580247, 'indigenous': 0, 'refugee': 0.6277372262773723, 'immigrant': 0, 'disability': 0, 'none': 0.6909090909090909}",0.40720499403815924,0.3975180027260976,0.39946673381803943
checkpoints/mistral_regular/checkpoint-1443,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.74      0.83      0.79       593
      normal       0.86      0.63      0.73       781
   offensive       0.54      0.67      0.60       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.53      0.53      0.53      1922
weighted avg       0.73      0.70      0.71      1922
",0.7233870967741935,0.7075095386749913,0.7193396226415094,0.7370710488158531,0.7280973979470039,"{'african': 0.8206686930091185, 'arab': 0.7176470588235294, 'asian': 0.6111111111111112, 'caucasian': 0.40350877192982454, 'christian': 0, 'hispanic': 0.78125, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.801762114537445, 'jewish': 0.845771144278607, 'men': 0.0, 'women': 0.5449101796407185, 'heterosexual': 0, 'homosexual': 0.7410714285714286, 'indigenous': 0, 'refugee': 0.6292134831460674, 'immigrant': 0, 'disability': 0.0, 'none': 0.7618243243243243}","{'african': 0.8709677419354839, 'arab': 0.7922077922077922, 'asian': 0.6470588235294118, 'caucasian': 0.4791666666666667, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8921568627450981, 'jewish': 0.9139784946236559, 'men': 0.0, 'women': 0.6026490066225165, 'heterosexual': 0, 'homosexual': 0.9120879120879121, 'indigenous': 0, 'refugee': 0.7272727272727273, 'immigrant': 0, 'disability': 0.0, 'none': 0.6751497005988024}","{'african': 0.8450704225352113, 'arab': 0.7530864197530864, 'asian': 0.6285714285714287, 'caucasian': 0.4380952380952381, 'christian': 0, 'hispanic': 0.7462686567164178, 'buddhism': 0, 'hindu': 0, 'islam': 0.8445475638051044, 'jewish': 0.8785529715762275, 'men': 0, 'women': 0.5723270440251572, 'heterosexual': 0, 'homosexual': 0.8177339901477831, 'indigenous': 0, 'refugee': 0.674698795180723, 'immigrant': 0, 'disability': 0, 'none': 0.7158730158730159}",0.4030914899669566,0.43299902329346224,0.4165697655936523
checkpoints/mistral_regular/checkpoint-14430,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.76      0.80      0.78       593
      normal       0.74      0.79      0.76       780
   offensive       0.58      0.49      0.53       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1921
   macro avg       0.52      0.52      0.52      1921
weighted avg       0.70      0.70      0.70      1921
",0.6981442941380506,0.6774713839750258,0.6992263056092843,0.6988883518608023,0.6990572878897753,"{'african': 0.8422818791946308, 'arab': 0.704225352112676, 'asian': 0.675, 'caucasian': 0.5294117647058824, 'christian': 0.0, 'hispanic': 0.7419354838709677, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.83, 'jewish': 0.873015873015873, 'men': 0.0, 'women': 0.5701754385964912, 'heterosexual': 0, 'homosexual': 0.7230769230769231, 'indigenous': 0, 'refugee': 0.6185567010309279, 'immigrant': 0, 'disability': 0.0, 'none': 0.6924198250728864}","{'african': 0.8096774193548387, 'arab': 0.6493506493506493, 'asian': 0.7941176470588235, 'caucasian': 0.1875, 'christian': 0.0, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.8137254901960784, 'jewish': 0.8870967741935484, 'men': 0.0, 'women': 0.4304635761589404, 'heterosexual': 0, 'homosexual': 0.7747252747252747, 'indigenous': 0, 'refugee': 0.7792207792207793, 'immigrant': 0, 'disability': 0.0, 'none': 0.7110778443113772}","{'african': 0.825657894736842, 'arab': 0.6756756756756757, 'asian': 0.7297297297297296, 'caucasian': 0.27692307692307694, 'christian': 0, 'hispanic': 0.6969696969696969, 'buddhism': 0, 'hindu': 0, 'islam': 0.8217821782178217, 'jewish': 0.88, 'men': 0, 'women': 0.49056603773584906, 'heterosexual': 0, 'homosexual': 0.7480106100795756, 'indigenous': 0, 'refugee': 0.6896551724137931, 'immigrant': 0, 'disability': 0, 'none': 0.7016248153618907}",0.4105315389830137,0.3944262269322719,0.3966628888338922
checkpoints/mistral_regular/checkpoint-16835,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.79      0.75      0.77       593
      normal       0.77      0.72      0.74       781
   offensive       0.54      0.61      0.57       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.52      0.52      0.52      1922
weighted avg       0.71      0.70      0.70      1922
",0.6994450225459591,0.6829171002428026,0.6991404011461319,0.707588206863219,0.7033389382656738,"{'african': 0.7914110429447853, 'arab': 0.6785714285714286, 'asian': 0.5945945945945946, 'caucasian': 0.5555555555555556, 'christian': 0.0, 'hispanic': 0.8620689655172413, 'buddhism': 0, 'hindu': 0, 'islam': 0.817258883248731, 'jewish': 0.8563829787234043, 'men': 0.0, 'women': 0.5454545454545454, 'heterosexual': 0, 'homosexual': 0.7268518518518519, 'indigenous': 0, 'refugee': 0.6944444444444444, 'immigrant': 0, 'disability': 0.0, 'none': 0.6881405563689604}","{'african': 0.832258064516129, 'arab': 0.7402597402597403, 'asian': 0.6470588235294118, 'caucasian': 0.20833333333333334, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.7892156862745098, 'jewish': 0.8655913978494624, 'men': 0.0, 'women': 0.5562913907284768, 'heterosexual': 0, 'homosexual': 0.8626373626373627, 'indigenous': 0, 'refugee': 0.6493506493506493, 'immigrant': 0, 'disability': 0.0, 'none': 0.7035928143712575}","{'african': 0.8113207547169811, 'arab': 0.7080745341614907, 'asian': 0.619718309859155, 'caucasian': 0.30303030303030304, 'christian': 0, 'hispanic': 0.7812500000000001, 'buddhism': 0, 'hindu': 0, 'islam': 0.8029925187032418, 'jewish': 0.8609625668449199, 'men': 0, 'women': 0.5508196721311476, 'heterosexual': 0, 'homosexual': 0.7889447236180905, 'indigenous': 0, 'refugee': 0.6711409395973155, 'immigrant': 0, 'disability': 0, 'none': 0.695780903034789}",0.4110913077513444,0.39836184090189725,0.3996860645103913
checkpoints/mistral_regular/checkpoint-1924,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.86      0.66      0.75       593
      normal       0.74      0.79      0.77       781
   offensive       0.52      0.59      0.55       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.53      0.51      0.52      1922
weighted avg       0.71      0.70      0.70      1922
",0.7265175164758932,0.7029656607700312,0.7239709443099274,0.722571290478492,0.7232704402515724,"{'african': 0.8523489932885906, 'arab': 0.7341772151898734, 'asian': 0.6153846153846154, 'caucasian': 0.5, 'christian': 0.0, 'hispanic': 0.8461538461538461, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.8556149732620321, 'jewish': 0.8802083333333334, 'men': 0.3333333333333333, 'women': 0.5855855855855856, 'heterosexual': 0, 'homosexual': 0.74, 'indigenous': 0, 'refugee': 0.6666666666666666, 'immigrant': 0, 'disability': 0.0, 'none': 0.6856763925729443}","{'african': 0.8193548387096774, 'arab': 0.7532467532467533, 'asian': 0.7058823529411765, 'caucasian': 0.375, 'christian': 0.0, 'hispanic': 0.6285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.7843137254901961, 'jewish': 0.9086021505376344, 'men': 0.16666666666666666, 'women': 0.4304635761589404, 'heterosexual': 0, 'homosexual': 0.8131868131868132, 'indigenous': 0, 'refugee': 0.5974025974025974, 'immigrant': 0, 'disability': 0.0, 'none': 0.7739520958083832}","{'african': 0.8355263157894737, 'arab': 0.7435897435897437, 'asian': 0.6575342465753424, 'caucasian': 0.42857142857142855, 'christian': 0, 'hispanic': 0.721311475409836, 'buddhism': 0, 'hindu': 0, 'islam': 0.8184143222506394, 'jewish': 0.8941798941798942, 'men': 0.2222222222222222, 'women': 0.4961832061068702, 'heterosexual': 0, 'homosexual': 0.774869109947644, 'indigenous': 0, 'refugee': 0.6301369863013698, 'immigrant': 0, 'disability': 0, 'none': 0.7271448663853728}",0.4365868397247801,0.40824436835369826,0.41840441143841245
checkpoints/mistral_regular/checkpoint-19240,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.78      0.74      0.76       592
      normal       0.75      0.72      0.74       779
   offensive       0.54      0.60      0.57       547
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1918
   macro avg       0.52      0.52      0.52      1918
weighted avg       0.70      0.69      0.70      1918
",0.6839750260145682,0.6715053763440858,0.6811320754716981,0.6979217013049782,0.6894246836953928,"{'african': 0.8066666666666666, 'arab': 0.6666666666666666, 'asian': 0.6176470588235294, 'caucasian': 0.5555555555555556, 'christian': 0.3333333333333333, 'hispanic': 0.8275862068965517, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.7863636363636364, 'jewish': 0.8520408163265306, 'men': 0.5, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.7389162561576355, 'indigenous': 0, 'refugee': 0.5972222222222222, 'immigrant': 0, 'disability': 0.0, 'none': 0.6764275256222547}","{'african': 0.7806451612903226, 'arab': 0.7272727272727273, 'asian': 0.6176470588235294, 'caucasian': 0.3125, 'christian': 0.3333333333333333, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.8480392156862745, 'jewish': 0.8978494623655914, 'men': 0.3333333333333333, 'women': 0.543046357615894, 'heterosexual': 0, 'homosexual': 0.8241758241758241, 'indigenous': 0, 'refugee': 0.5584415584415584, 'immigrant': 0, 'disability': 0.0, 'none': 0.6916167664670658}","{'african': 0.7934426229508196, 'arab': 0.6956521739130435, 'asian': 0.6176470588235294, 'caucasian': 0.39999999999999997, 'christian': 0.3333333333333333, 'hispanic': 0.75, 'buddhism': 0, 'hindu': 0, 'islam': 0.8160377358490567, 'jewish': 0.87434554973822, 'men': 0.4, 'women': 0.5206349206349206, 'heterosexual': 0, 'homosexual': 0.7792207792207793, 'indigenous': 0, 'refugee': 0.5771812080536912, 'immigrant': 0, 'disability': 0, 'none': 0.6839378238341968}",0.4451803128755043,0.42913763602735466,0.4337596424395574
checkpoints/mistral_regular/checkpoint-21645,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.80      0.71      0.75       592
      normal       0.73      0.74      0.74       781
   offensive       0.51      0.57      0.54       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.68      1921
   macro avg       0.51      0.50      0.51      1921
weighted avg       0.69      0.68      0.69      1921
",0.7003988900450919,0.6730142212972596,0.6990291262135923,0.6959884001933301,0.6975054492613224,"{'african': 0.8037383177570093, 'arab': 0.717948717948718, 'asian': 0.6153846153846154, 'caucasian': 0.6086956521739131, 'christian': 1.0, 'hispanic': 0.78125, 'buddhism': 0, 'hindu': 0, 'islam': 0.8058252427184466, 'jewish': 0.8442211055276382, 'men': 0.0, 'women': 0.5447761194029851, 'heterosexual': 0, 'homosexual': 0.7106598984771574, 'indigenous': 0, 'refugee': 0.6714285714285714, 'immigrant': 0, 'disability': 0, 'none': 0.6850746268656717}","{'african': 0.832258064516129, 'arab': 0.7272727272727273, 'asian': 0.7058823529411765, 'caucasian': 0.2916666666666667, 'christian': 0.3333333333333333, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8137254901960784, 'jewish': 0.9032258064516129, 'men': 0.0, 'women': 0.48344370860927155, 'heterosexual': 0, 'homosexual': 0.7692307692307693, 'indigenous': 0, 'refugee': 0.6103896103896104, 'immigrant': 0, 'disability': 0.0, 'none': 0.687125748502994}","{'african': 0.8177496038034865, 'arab': 0.7225806451612903, 'asian': 0.6575342465753424, 'caucasian': 0.39436619718309857, 'christian': 0.5, 'hispanic': 0.7462686567164178, 'buddhism': 0, 'hindu': 0, 'islam': 0.8097560975609757, 'jewish': 0.8727272727272727, 'men': 0, 'women': 0.512280701754386, 'heterosexual': 0, 'homosexual': 0.7387862796833774, 'indigenous': 0, 'refugee': 0.6394557823129251, 'immigrant': 0, 'disability': 0, 'none': 0.6860986547085202}",0.4625790982991961,0.4143073680208465,0.4261896914835312
checkpoints/mistral_regular/checkpoint-2405,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.84      0.67      0.75       593
      normal       0.79      0.72      0.75       781
   offensive       0.51      0.68      0.58       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.53      0.52      0.52      1922
weighted avg       0.72      0.69      0.70      1922
",0.7033038501560875,0.68366285119667,0.7046332046332047,0.7056549057515709,0.7051436851002173,"{'african': 0.8620689655172413, 'arab': 0.7532467532467533, 'asian': 0.6666666666666666, 'caucasian': 0.5925925925925926, 'christian': 0.0, 'hispanic': 0.8928571428571429, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.8284313725490197, 'jewish': 0.8839779005524862, 'men': 0.0, 'women': 0.5588235294117647, 'heterosexual': 0, 'homosexual': 0.7763157894736842, 'indigenous': 0, 'refugee': 0.6461538461538462, 'immigrant': 0, 'disability': 0.0, 'none': 0.662111801242236}","{'african': 0.8064516129032258, 'arab': 0.7532467532467533, 'asian': 0.6470588235294118, 'caucasian': 0.3333333333333333, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8284313725490197, 'jewish': 0.8602150537634409, 'men': 0.0, 'women': 0.37748344370860926, 'heterosexual': 0, 'homosexual': 0.6483516483516484, 'indigenous': 0, 'refugee': 0.5454545454545454, 'immigrant': 0, 'disability': 0.0, 'none': 0.7979041916167665}","{'african': 0.8333333333333334, 'arab': 0.7532467532467532, 'asian': 0.6567164179104478, 'caucasian': 0.4266666666666667, 'christian': 0, 'hispanic': 0.7936507936507937, 'buddhism': 0, 'hindu': 0, 'islam': 0.8284313725490197, 'jewish': 0.871934604904632, 'men': 0, 'women': 0.4505928853754941, 'heterosexual': 0, 'homosexual': 0.7065868263473054, 'indigenous': 0, 'refugee': 0.5915492957746479, 'immigrant': 0, 'disability': 0, 'none': 0.7236931432450782}",0.42753928211912806,0.3848534996180247,0.40191589963179847
checkpoints/mistral_regular/checkpoint-24050,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.79      0.78       592
      normal       0.75      0.75      0.75       781
   offensive       0.56      0.54      0.55       547
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1920
   macro avg       0.52      0.52      0.52      1920
weighted avg       0.70      0.70      0.70      1920
",0.683350676378772,0.6805584460631285,0.6791147994467497,0.7119381343644272,0.6951392166116092,"{'african': 0.819620253164557, 'arab': 0.6436781609195402, 'asian': 0.6486486486486487, 'caucasian': 0.5294117647058824, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.7906976744186046, 'jewish': 0.8341463414634146, 'men': 0.5, 'women': 0.47513812154696133, 'heterosexual': 0, 'homosexual': 0.7368421052631579, 'indigenous': 0, 'refugee': 0.6857142857142857, 'immigrant': 0, 'disability': 0.0, 'none': 0.7033492822966507}","{'african': 0.8354838709677419, 'arab': 0.7272727272727273, 'asian': 0.7058823529411765, 'caucasian': 0.375, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.8333333333333334, 'jewish': 0.9193548387096774, 'men': 0.3333333333333333, 'women': 0.5695364238410596, 'heterosexual': 0, 'homosexual': 0.8461538461538461, 'indigenous': 0, 'refugee': 0.6233766233766234, 'immigrant': 0, 'disability': 0.0, 'none': 0.6601796407185628}","{'african': 0.8274760383386582, 'arab': 0.6829268292682927, 'asian': 0.676056338028169, 'caucasian': 0.4390243902439025, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.8114558472553699, 'jewish': 0.8746803069053708, 'men': 0.4, 'women': 0.5180722891566265, 'heterosexual': 0, 'homosexual': 0.7877237851662404, 'indigenous': 0, 'refugee': 0.6530612244897959, 'immigrant': 0, 'disability': 0, 'none': 0.681081081081081}",0.4458951864686109,0.4491404681794729,0.4450694755102848
checkpoints/mistral_regular/checkpoint-26455,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.76      0.79      0.78       593
      normal       0.74      0.78      0.76       780
   offensive       0.57      0.51      0.54       547
   undecided       0.00      0.00      0.00         0

    accuracy                           0.71      1920
   macro avg       0.52      0.52      0.52      1920
weighted avg       0.70      0.71      0.70      1920
",0.7026448144294138,0.6911377037807839,0.6994818652849741,0.7177380376993717,0.7084923664122138,"{'african': 0.8135048231511254, 'arab': 0.6867469879518072, 'asian': 0.6571428571428571, 'caucasian': 0.5, 'christian': 0.5, 'hispanic': 0.7575757575757576, 'buddhism': 0, 'hindu': 0, 'islam': 0.8018018018018018, 'jewish': 0.8217821782178217, 'men': 0.25, 'women': 0.5222929936305732, 'heterosexual': 0, 'homosexual': 0.743455497382199, 'indigenous': 0, 'refugee': 0.6578947368421053, 'immigrant': 0, 'disability': 0.5, 'none': 0.6962209302325582}","{'african': 0.8161290322580645, 'arab': 0.7402597402597403, 'asian': 0.6764705882352942, 'caucasian': 0.2708333333333333, 'christian': 0.3333333333333333, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8725490196078431, 'jewish': 0.8924731182795699, 'men': 0.16666666666666666, 'women': 0.543046357615894, 'heterosexual': 0, 'homosexual': 0.7802197802197802, 'indigenous': 0, 'refugee': 0.6493506493506493, 'immigrant': 0, 'disability': 0.25, 'none': 0.7170658682634731}","{'african': 0.8148148148148149, 'arab': 0.7125, 'asian': 0.6666666666666666, 'caucasian': 0.35135135135135137, 'christian': 0.4, 'hispanic': 0.7352941176470589, 'buddhism': 0, 'hindu': 0, 'islam': 0.8356807511737089, 'jewish': 0.8556701030927835, 'men': 0.2, 'women': 0.5324675324675325, 'heterosexual': 0, 'homosexual': 0.7613941018766757, 'indigenous': 0, 'refugee': 0.6535947712418301, 'immigrant': 0, 'disability': 0.3333333333333333, 'none': 0.7064896755162241}",0.46886413494361096,0.44329911587943976,0.4504872220622095
