Checkpoint Path,Classification Report,Average Precision,Average Recall,Overall Precision,Overall Recall,F1 Score,Per Label Precision,Per Label Recall,Per Label F1,Macro Precision,Macro Recall,Macro F1 Score
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-14,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.57      0.74      0.64       593
      normal       0.59      0.65      0.62       781
   offensive       0.30      0.16      0.21       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.54      1922
   macro avg       0.36      0.39      0.37      1922
weighted avg       0.50      0.54      0.51      1922
",0.42633541449878604,0.4138224072147069,0.42201834862385323,0.4001933301111648,0.4108161746464898,"{'african': 0.7616822429906542, 'arab': 1.0, 'asian': 0.5555555555555556, 'caucasian': 0, 'christian': 0.0, 'hispanic': 0.7857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.0, 'jewish': 0.7708333333333334, 'men': 0, 'women': 0.5652173913043478, 'heterosexual': 0, 'homosexual': 1.0, 'indigenous': 0.0, 'refugee': 0, 'immigrant': 0, 'disability': 0.0, 'none': 0.5307950727883539}","{'african': 0.5258064516129032, 'arab': 0.025974025974025976, 'asian': 0.4411764705882353, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.3142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.0, 'jewish': 0.7956989247311828, 'men': 0.0, 'women': 0.08609271523178808, 'heterosexual': 0, 'homosexual': 0.01098901098901099, 'indigenous': 0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.7095808383233533}","{'african': 0.6221374045801525, 'arab': 0.05063291139240507, 'asian': 0.49180327868852464, 'caucasian': 0, 'christian': 0, 'hispanic': 0.44897959183673464, 'buddhism': 0, 'hindu': 0, 'islam': 0, 'jewish': 0.7830687830687831, 'men': 0, 'women': 0.14942528735632185, 'heterosexual': 0, 'homosexual': 0.02173913043478261, 'indigenous': 0, 'refugee': 0, 'immigrant': 0, 'disability': 0, 'none': 0.6073030108904549}",0.31419988850981745,0.15313706061769547,0.1671099683288505
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-19,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.81      0.34      0.47       593
      normal       0.46      0.97      0.63       781
   offensive       0.37      0.03      0.05       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.51      1922
   macro avg       0.41      0.33      0.29      1922
weighted avg       0.54      0.51      0.42      1922
",0.45031217481789804,0.4421782865071106,0.44873776403915505,0.42097631706138233,0.4344139650872818,"{'african': 0.8709677419354839, 'arab': 1.0, 'asian': 0.6, 'caucasian': 0, 'christian': 0, 'hispanic': 0.8571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.8888888888888888, 'jewish': 0.9090909090909091, 'men': 0, 'women': 1.0, 'heterosexual': 0, 'homosexual': 0.9166666666666666, 'indigenous': 0.0, 'refugee': 0, 'immigrant': 0, 'disability': 0.0, 'none': 0.39716748768472904}","{'african': 0.26129032258064516, 'arab': 0.025974025974025976, 'asian': 0.17647058823529413, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.17142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.0392156862745098, 'jewish': 0.5913978494623656, 'men': 0.0, 'women': 0.013245033112582781, 'heterosexual': 0, 'homosexual': 0.06043956043956044, 'indigenous': 0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.9655688622754491}","{'african': 0.401985111662531, 'arab': 0.05063291139240507, 'asian': 0.2727272727272727, 'caucasian': 0, 'christian': 0, 'hispanic': 0.2857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.07511737089201878, 'jewish': 0.7166123778501629, 'men': 0, 'women': 0.0261437908496732, 'heterosexual': 0, 'homosexual': 0.1134020618556701, 'indigenous': 0, 'refugee': 0, 'immigrant': 0, 'disability': 0, 'none': 0.5628272251308901}",0.39157497638997557,0.1213173947254213,0.13185065305657417
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-24,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.71      0.57      0.63       593
      normal       0.52      0.93      0.67       781
   offensive       0.48      0.05      0.09       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.57      1922
   macro avg       0.43      0.39      0.35      1922
weighted avg       0.57      0.57      0.49      1922
",0.5430107526881721,0.522840790842872,0.5424769703172978,0.5123247945867568,0.5269699229430773,"{'african': 0.8181818181818182, 'arab': 0.7692307692307693, 'asian': 0.5, 'caucasian': 0, 'christian': 0, 'hispanic': 0.8181818181818182, 'buddhism': 0, 'hindu': 0, 'islam': 0.9122807017543859, 'jewish': 0.8863636363636364, 'men': 0, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.8904109589041096, 'indigenous': 0, 'refugee': 1.0, 'immigrant': 0.0, 'disability': 0.0, 'none': 0.4455587392550143}","{'african': 0.5516129032258065, 'arab': 0.12987012987012986, 'asian': 0.20588235294117646, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.2571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.2549019607843137, 'jewish': 0.6290322580645161, 'men': 0.0, 'women': 0.026490066225165563, 'heterosexual': 0, 'homosexual': 0.35714285714285715, 'indigenous': 0, 'refugee': 0.03896103896103896, 'immigrant': 0, 'disability': 0.0, 'none': 0.9311377245508982}","{'african': 0.6589595375722543, 'arab': 0.2222222222222222, 'asian': 0.2916666666666667, 'caucasian': 0, 'christian': 0, 'hispanic': 0.39130434782608686, 'buddhism': 0, 'hindu': 0, 'islam': 0.39846743295019155, 'jewish': 0.7358490566037735, 'men': 0, 'women': 0.05031446540880503, 'heterosexual': 0, 'homosexual': 0.5098039215686274, 'indigenous': 0, 'refugee': 0.07500000000000001, 'immigrant': 0, 'disability': 0, 'none': 0.6027131782945737}",0.39685307588797647,0.17800916573203998,0.20717372784806326
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-29,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.72      0.63      0.67       593
      normal       0.55      0.90      0.68       781
   offensive       0.43      0.10      0.16       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.59      1922
   macro avg       0.42      0.41      0.38      1922
weighted avg       0.57      0.59      0.53      1922
",0.5763093999306279,0.5554977454040929,0.5804977145759269,0.5524407926534558,0.5661218424962853,"{'african': 0.8016194331983806, 'arab': 0.6111111111111112, 'asian': 0.55, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.85, 'buddhism': 0, 'hindu': 0, 'islam': 0.8256880733944955, 'jewish': 0.9292035398230089, 'men': 0, 'women': 0.4642857142857143, 'heterosexual': 0, 'homosexual': 0.7982456140350878, 'indigenous': 0, 'refugee': 1.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.46853146853146854}","{'african': 0.6387096774193548, 'arab': 0.14285714285714285, 'asian': 0.3235294117647059, 'caucasian': 0.020833333333333332, 'christian': 0.0, 'hispanic': 0.4857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.4411764705882353, 'jewish': 0.5645161290322581, 'men': 0.0, 'women': 0.08609271523178808, 'heterosexual': 0, 'homosexual': 0.5, 'indigenous': 0, 'refugee': 0.03896103896103896, 'immigrant': 0, 'disability': 0.0, 'none': 0.9026946107784432}","{'african': 0.710951526032316, 'arab': 0.23157894736842108, 'asian': 0.4074074074074075, 'caucasian': 0.039999999999999994, 'christian': 0, 'hispanic': 0.6181818181818183, 'buddhism': 0, 'hindu': 0, 'islam': 0.5750798722044728, 'jewish': 0.7023411371237459, 'men': 0, 'women': 0.1452513966480447, 'heterosexual': 0, 'homosexual': 0.6148648648648649, 'indigenous': 0, 'refugee': 0.07500000000000001, 'immigrant': 0, 'disability': 0, 'none': 0.6168797953964196}",0.41045710286206666,0.21816235872003084,0.24934404027513216
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-34,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.80      0.63      0.70       593
      normal       0.55      0.92      0.69       781
   offensive       0.47      0.13      0.20       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.61      1922
   macro avg       0.46      0.42      0.40      1922
weighted avg       0.61      0.61      0.56      1922
",0.5860648629899411,0.5693201526187999,0.5932798395185557,0.5717738037699371,0.5823283288210682,"{'african': 0.8448275862068966, 'arab': 0.6785714285714286, 'asian': 0.6111111111111112, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.8636363636363636, 'buddhism': 0, 'hindu': 0, 'islam': 0.8235294117647058, 'jewish': 0.9444444444444444, 'men': 0, 'women': 0.4838709677419355, 'heterosexual': 0, 'homosexual': 0.7983193277310925, 'indigenous': 0, 'refugee': 0.7, 'immigrant': 0, 'disability': 0.0, 'none': 0.47331240188383045}","{'african': 0.632258064516129, 'arab': 0.24675324675324675, 'asian': 0.3235294117647059, 'caucasian': 0.020833333333333332, 'christian': 0.0, 'hispanic': 0.5428571428571428, 'buddhism': 0, 'hindu': 0, 'islam': 0.4803921568627451, 'jewish': 0.6397849462365591, 'men': 0.0, 'women': 0.09933774834437085, 'heterosexual': 0, 'homosexual': 0.521978021978022, 'indigenous': 0, 'refugee': 0.09090909090909091, 'immigrant': 0, 'disability': 0.0, 'none': 0.9026946107784432}","{'african': 0.7232472324723247, 'arab': 0.3619047619047619, 'asian': 0.42307692307692313, 'caucasian': 0.039999999999999994, 'christian': 0, 'hispanic': 0.6666666666666666, 'buddhism': 0, 'hindu': 0, 'islam': 0.6068111455108359, 'jewish': 0.7628205128205128, 'men': 0, 'women': 0.16483516483516486, 'heterosexual': 0, 'homosexual': 0.6312292358803986, 'indigenous': 0, 'refugee': 0.16091954022988506, 'immigrant': 0, 'disability': 0, 'none': 0.6210092687950566}",0.40640121279430574,0.23691198812283096,0.27171160274697526
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-39,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.79      0.67      0.72       593
      normal       0.57      0.92      0.70       781
   offensive       0.45      0.12      0.19       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.62      1922
   macro avg       0.45      0.43      0.41      1922
weighted avg       0.60      0.62      0.56      1922
",0.5897936177592786,0.5717134928893514,0.5974025974025974,0.5780570323827936,0.5875706214689266,"{'african': 0.8518518518518519, 'arab': 0.6904761904761905, 'asian': 0.5263157894736842, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.8888888888888888, 'buddhism': 0, 'hindu': 0, 'islam': 0.8260869565217391, 'jewish': 0.9078014184397163, 'men': 0, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.8305084745762712, 'indigenous': 0, 'refugee': 0.6923076923076923, 'immigrant': 0, 'disability': 0.0, 'none': 0.4758789860997547}","{'african': 0.667741935483871, 'arab': 0.37662337662337664, 'asian': 0.29411764705882354, 'caucasian': 0.041666666666666664, 'christian': 0.0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.46568627450980393, 'jewish': 0.6881720430107527, 'men': 0.0, 'women': 0.07947019867549669, 'heterosexual': 0, 'homosexual': 0.5384615384615384, 'indigenous': 0, 'refugee': 0.11688311688311688, 'immigrant': 0, 'disability': 0.0, 'none': 0.8712574850299402}","{'african': 0.7486437613019892, 'arab': 0.48739495798319327, 'asian': 0.3773584905660377, 'caucasian': 0.07692307692307693, 'christian': 0, 'hispanic': 0.7741935483870968, 'buddhism': 0, 'hindu': 0, 'islam': 0.5956112852664577, 'jewish': 0.7828746177370031, 'men': 0, 'women': 0.13714285714285715, 'heterosexual': 0, 'homosexual': 0.6533333333333333, 'indigenous': 0, 'refugee': 0.19999999999999998, 'immigrant': 0, 'disability': 0, 'none': 0.6155473294553147}",0.40474296045451524,0.253989187795667,0.2867906977945452
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-4,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.33      1.00      0.50       591
      normal       0.68      0.10      0.18       752
   offensive       1.00      0.00      0.00       541
   undecided       0.00      0.00      0.00         0

    accuracy                           0.35      1884
   macro avg       0.50      0.28      0.17      1884
weighted avg       0.66      0.35      0.23      1884
",0.0918921262573708,0.09092958723551856,0.07947855340622371,0.09134847752537457,0.08500112435349674,"{'african': 1.0, 'arab': 0.0, 'asian': 0.5238095238095238, 'caucasian': 0, 'christian': 0.0, 'hispanic': 0.8181818181818182, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.5, 'jewish': 0.625, 'men': 0.0, 'women': 0.4601226993865031, 'heterosexual': 0, 'homosexual': 0, 'indigenous': 0.0, 'refugee': 0.5, 'immigrant': 0, 'disability': 0, 'none': 0.7567567567567568}","{'african': 0.00967741935483871, 'arab': 0.0, 'asian': 0.3235294117647059, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.2571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.004901960784313725, 'jewish': 0.026881720430107527, 'men': 0.0, 'women': 0.4966887417218543, 'heterosexual': 0, 'homosexual': 0.0, 'indigenous': 0, 'refugee': 0.012987012987012988, 'immigrant': 0, 'disability': 0.0, 'none': 0.12574850299401197}","{'african': 0.019169329073482427, 'arab': 0, 'asian': 0.39999999999999997, 'caucasian': 0, 'christian': 0, 'hispanic': 0.39130434782608686, 'buddhism': 0, 'hindu': 0, 'islam': 0.00970873786407767, 'jewish': 0.05154639175257732, 'men': 0, 'women': 0.47770700636942676, 'heterosexual': 0, 'homosexual': 0, 'indigenous': 0, 'refugee': 0.025316455696202535, 'immigrant': 0, 'disability': 0, 'none': 0.21566110397946084}",0.27283530516497906,0.0661872435357738,0.08370596697691128
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-44,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.81      0.67      0.73       593
      normal       0.56      0.93      0.70       781
   offensive       0.48      0.13      0.20       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.62      1922
   macro avg       0.46      0.43      0.41      1922
weighted avg       0.62      0.62      0.57      1922
",0.6041883454734651,0.5857787027402012,0.6115288220551378,0.5896568390526824,0.6003937007874015,"{'african': 0.8820960698689956, 'arab': 0.6923076923076923, 'asian': 0.5555555555555556, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.88, 'buddhism': 0, 'hindu': 0, 'islam': 0.8449612403100775, 'jewish': 0.9097222222222222, 'men': 0, 'women': 0.5, 'heterosexual': 0, 'homosexual': 0.8319327731092437, 'indigenous': 0, 'refugee': 0.5217391304347826, 'immigrant': 0, 'disability': 0, 'none': 0.48447712418300654}","{'african': 0.6516129032258065, 'arab': 0.35064935064935066, 'asian': 0.29411764705882354, 'caucasian': 0.020833333333333332, 'christian': 0.0, 'hispanic': 0.6285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.5343137254901961, 'jewish': 0.7043010752688172, 'men': 0.0, 'women': 0.08609271523178808, 'heterosexual': 0, 'homosexual': 0.5439560439560439, 'indigenous': 0, 'refugee': 0.15584415584415584, 'immigrant': 0, 'disability': 0.0, 'none': 0.8877245508982036}","{'african': 0.7495361781076068, 'arab': 0.46551724137931033, 'asian': 0.3846153846153846, 'caucasian': 0.039999999999999994, 'christian': 0, 'hispanic': 0.7333333333333334, 'buddhism': 0, 'hindu': 0, 'islam': 0.6546546546546546, 'jewish': 0.7939393939393941, 'men': 0, 'women': 0.14689265536723164, 'heterosexual': 0, 'homosexual': 0.6578073089700996, 'indigenous': 0, 'refugee': 0.24000000000000002, 'immigrant': 0, 'disability': 0, 'none': 0.6268498942917549}",0.40014693726271444,0.25568510155410246,0.28911294971888263
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-49,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.82      0.67      0.74       593
      normal       0.59      0.91      0.72       781
   offensive       0.50      0.22      0.30       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.64      1922
   macro avg       0.48      0.45      0.44      1922
weighted avg       0.63      0.64      0.61      1922
",0.6344519597641345,0.6122615331252167,0.6407815631262525,0.6181730304494925,0.6292742927429273,"{'african': 0.8658536585365854, 'arab': 0.66, 'asian': 0.5714285714285714, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.88, 'buddhism': 0, 'hindu': 0, 'islam': 0.8540145985401459, 'jewish': 0.9155844155844156, 'men': 0, 'women': 0.5625, 'heterosexual': 0, 'homosexual': 0.8148148148148148, 'indigenous': 0, 'refugee': 0.5714285714285714, 'immigrant': 0, 'disability': 0.0, 'none': 0.5136563876651983}","{'african': 0.6870967741935484, 'arab': 0.42857142857142855, 'asian': 0.35294117647058826, 'caucasian': 0.020833333333333332, 'christian': 0.0, 'hispanic': 0.6285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.5735294117647058, 'jewish': 0.7580645161290323, 'men': 0.0, 'women': 0.17880794701986755, 'heterosexual': 0, 'homosexual': 0.6043956043956044, 'indigenous': 0, 'refugee': 0.2597402597402597, 'immigrant': 0, 'disability': 0.0, 'none': 0.8727544910179641}","{'african': 0.7661870503597122, 'arab': 0.5196850393700788, 'asian': 0.43636363636363634, 'caucasian': 0.039999999999999994, 'christian': 0, 'hispanic': 0.7333333333333334, 'buddhism': 0, 'hindu': 0, 'islam': 0.6862170087976539, 'jewish': 0.8294117647058825, 'men': 0, 'women': 0.271356783919598, 'heterosexual': 0, 'homosexual': 0.6940063091482649, 'indigenous': 0, 'refugee': 0.3571428571428571, 'immigrant': 0, 'disability': 0, 'none': 0.646699944536883}",0.4057516325262264,0.28238454585304,0.3147580909304158
pfl-research/benchmarks/hf_checkpoint/fl_2/checkpoint-54,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.81      0.70      0.75       593
      normal       0.61      0.90      0.73       781
   offensive       0.52      0.25      0.34       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.65      1922
   macro avg       0.49      0.46      0.46      1922
weighted avg       0.65      0.65      0.63      1922
",0.6434009712105446,0.6250607006590355,0.650197628458498,0.6360560657322378,0.6430491082335695,"{'african': 0.8643410852713178, 'arab': 0.660377358490566, 'asian': 0.6363636363636364, 'caucasian': 0.2, 'christian': 0, 'hispanic': 0.8620689655172413, 'buddhism': 0, 'hindu': 0, 'islam': 0.8376623376623377, 'jewish': 0.9084967320261438, 'men': 0, 'women': 0.58, 'heterosexual': 0, 'homosexual': 0.8296296296296296, 'indigenous': 0, 'refugee': 0.5897435897435898, 'immigrant': 0, 'disability': 0.0, 'none': 0.5227475468331847}","{'african': 0.7193548387096774, 'arab': 0.45454545454545453, 'asian': 0.4117647058823529, 'caucasian': 0.020833333333333332, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.6323529411764706, 'jewish': 0.7473118279569892, 'men': 0.0, 'women': 0.19205298013245034, 'heterosexual': 0, 'homosexual': 0.6153846153846154, 'indigenous': 0, 'refugee': 0.2987012987012987, 'immigrant': 0, 'disability': 0.0, 'none': 0.8772455089820359}","{'african': 0.7852112676056338, 'arab': 0.5384615384615384, 'asian': 0.5, 'caucasian': 0.03773584905660377, 'christian': 0, 'hispanic': 0.7812500000000001, 'buddhism': 0, 'hindu': 0, 'islam': 0.7206703910614526, 'jewish': 0.8200589970501475, 'men': 0, 'women': 0.2885572139303483, 'heterosexual': 0, 'homosexual': 0.7066246056782335, 'indigenous': 0, 'refugee': 0.39655172413793105, 'immigrant': 0, 'disability': 0, 'none': 0.655114589155953}",0.3942858358704025,0.2991491167942312,0.3279071671651495
