Checkpoint Path,Classification Report,Average Precision,Average Recall,Overall Precision,Overall Recall,F1 Score,Per Label Precision,Per Label Recall,Per Label F1,Macro Precision,Macro Recall,Macro F1 Score
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-14,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.95      0.07      0.12       590
      normal       0.52      0.90      0.66       762
   offensive       0.28      0.28      0.28       542
   undecided       0.00      0.00      0.00         0

    accuracy                           0.46      1894
   macro avg       0.44      0.31      0.27      1894
weighted avg       0.59      0.46      0.39      1894
",0.590270551508845,0.5698057578910856,0.5924024640657084,0.5577573707104881,0.5745581279561862,"{'african': 0.867816091954023, 'arab': 0.7037037037037037, 'asian': 0.7272727272727273, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.9, 'buddhism': 0, 'hindu': 0, 'islam': 0.7560975609756098, 'jewish': 0.90625, 'men': 0, 'women': 0.632183908045977, 'heterosexual': 0, 'homosexual': 0.746031746031746, 'indigenous': 0, 'refugee': 0.625, 'immigrant': 0, 'disability': 0, 'none': 0.47413793103448276}","{'african': 0.4870967741935484, 'arab': 0.24675324675324675, 'asian': 0.23529411764705882, 'caucasian': 0.0625, 'christian': 0.0, 'hispanic': 0.2571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.6078431372549019, 'jewish': 0.6236559139784946, 'men': 0.0, 'women': 0.36423841059602646, 'heterosexual': 0, 'homosexual': 0.5164835164835165, 'indigenous': 0, 'refugee': 0.3246753246753247, 'immigrant': 0, 'disability': 0.0, 'none': 0.8233532934131736}","{'african': 0.6239669421487604, 'arab': 0.3653846153846154, 'asian': 0.3555555555555555, 'caucasian': 0.1111111111111111, 'christian': 0, 'hispanic': 0.39999999999999997, 'buddhism': 0, 'hindu': 0, 'islam': 0.6739130434782609, 'jewish': 0.7388535031847134, 'men': 0, 'women': 0.4621848739495798, 'heterosexual': 0, 'homosexual': 0.6103896103896105, 'indigenous': 0, 'refugee': 0.42735042735042733, 'immigrant': 0, 'disability': 0, 'none': 0.6017505470459519}",0.4125522983693826,0.23942297853358677,0.28265580155782033
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-19,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.72      0.70      0.71       593
      normal       0.71      0.79      0.75       781
   offensive       0.45      0.39      0.42       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.65      1922
   macro avg       0.47      0.47      0.47      1922
weighted avg       0.64      0.65      0.64      1922
",0.6981876517516478,0.6816163718348942,0.7005296100144439,0.7032382793620107,0.7018813314037627,"{'african': 0.78125, 'arab': 0.746031746031746, 'asian': 0.5909090909090909, 'caucasian': 0.5833333333333334, 'christian': 0, 'hispanic': 0.8620689655172413, 'buddhism': 0, 'hindu': 0, 'islam': 0.8191489361702128, 'jewish': 0.8557213930348259, 'men': 0, 'women': 0.5294117647058824, 'heterosexual': 0, 'homosexual': 0.7295918367346939, 'indigenous': 0, 'refugee': 0.5465116279069767, 'immigrant': 0, 'disability': 0, 'none': 0.6493860845839018}","{'african': 0.8870967741935484, 'arab': 0.6103896103896104, 'asian': 0.7647058823529411, 'caucasian': 0.14583333333333334, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.7549019607843137, 'jewish': 0.9247311827956989, 'men': 0.0, 'women': 0.5364238410596026, 'heterosexual': 0, 'homosexual': 0.7857142857142857, 'indigenous': 0, 'refugee': 0.6103896103896104, 'immigrant': 0, 'disability': 0.0, 'none': 0.7125748502994012}","{'african': 0.8308157099697884, 'arab': 0.6714285714285714, 'asian': 0.6666666666666667, 'caucasian': 0.23333333333333336, 'christian': 0, 'hispanic': 0.7812500000000001, 'buddhism': 0, 'hindu': 0, 'islam': 0.7857142857142858, 'jewish': 0.888888888888889, 'men': 0, 'women': 0.5328947368421053, 'heterosexual': 0, 'homosexual': 0.7566137566137565, 'indigenous': 0, 'refugee': 0.5766871165644172, 'immigrant': 0, 'disability': 0, 'none': 0.6795146324054246}",0.4049139357330476,0.39194984450516107,0.38967408939090725
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-24,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.81      0.53      0.64       593
      normal       0.65      0.88      0.75       781
   offensive       0.42      0.36      0.39       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.62      1922
   macro avg       0.47      0.44      0.44      1922
weighted avg       0.63      0.62      0.61      1922
",0.67386403052376,0.6482136663198057,0.6775325977933802,0.652972450459159,0.6650258429731726,"{'african': 0.8842975206611571, 'arab': 0.6615384615384615, 'asian': 0.6363636363636364, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.8181818181818182, 'buddhism': 0, 'hindu': 0, 'islam': 0.8090452261306532, 'jewish': 0.9197530864197531, 'men': 0, 'women': 0.6097560975609756, 'heterosexual': 0, 'homosexual': 0.8275862068965517, 'indigenous': 0, 'refugee': 0.7777777777777778, 'immigrant': 0, 'disability': 0, 'none': 0.555767397521449}","{'african': 0.6903225806451613, 'arab': 0.5584415584415584, 'asian': 0.4117647058823529, 'caucasian': 0.041666666666666664, 'christian': 0.0, 'hispanic': 0.5142857142857142, 'buddhism': 0, 'hindu': 0, 'islam': 0.7892156862745098, 'jewish': 0.8010752688172043, 'men': 0.0, 'women': 0.16556291390728478, 'heterosexual': 0, 'homosexual': 0.6593406593406593, 'indigenous': 0, 'refugee': 0.2727272727272727, 'immigrant': 0, 'disability': 0.0, 'none': 0.8727544910179641}","{'african': 0.7753623188405797, 'arab': 0.6056338028169014, 'asian': 0.5, 'caucasian': 0.07692307692307693, 'christian': 0, 'hispanic': 0.6315789473684209, 'buddhism': 0, 'hindu': 0, 'islam': 0.7990074441687345, 'jewish': 0.8563218390804598, 'men': 0, 'women': 0.26041666666666663, 'heterosexual': 0, 'homosexual': 0.7339449541284404, 'indigenous': 0, 'refugee': 0.40384615384615374, 'immigrant': 0, 'disability': 0, 'none': 0.6790914385556203}",0.42105616995011763,0.3040609220003341,0.3327435074944765
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-29,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.79      0.62      0.69       593
      normal       0.71      0.80      0.75       781
   offensive       0.47      0.50      0.48       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.66      1922
   macro avg       0.49      0.48      0.48      1922
weighted avg       0.67      0.66      0.66      1922
",0.6806711758584809,0.6707596253902187,0.6828571428571428,0.6930884485258579,0.6879347565363396,"{'african': 0.7993920972644377, 'arab': 0.7592592592592593, 'asian': 0.6333333333333333, 'caucasian': 0.6666666666666666, 'christian': 1.0, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.8289473684210527, 'jewish': 0.8636363636363636, 'men': 0, 'women': 0.5223880597014925, 'heterosexual': 0, 'homosexual': 0.7942857142857143, 'indigenous': 0, 'refugee': 0.6727272727272727, 'immigrant': 0, 'disability': 0, 'none': 0.5816216216216217}","{'african': 0.8483870967741935, 'arab': 0.5324675324675324, 'asian': 0.5588235294117647, 'caucasian': 0.041666666666666664, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.6176470588235294, 'jewish': 0.9193548387096774, 'men': 0.0, 'women': 0.46357615894039733, 'heterosexual': 0, 'homosexual': 0.7637362637362637, 'indigenous': 0, 'refugee': 0.4805194805194805, 'immigrant': 0, 'disability': 0.0, 'none': 0.8053892215568862}","{'african': 0.8231611893583726, 'arab': 0.6259541984732824, 'asian': 0.59375, 'caucasian': 0.0784313725490196, 'christian': 0.5, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.7078651685393259, 'jewish': 0.890625, 'men': 0, 'women': 0.4912280701754386, 'heterosexual': 0, 'homosexual': 0.7787114845938374, 'indigenous': 0, 'refugee': 0.5606060606060606, 'immigrant': 0, 'disability': 0, 'none': 0.6754551161330822}",0.46808875412346246,0.3755963027562262,0.3945903279924732
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-34,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.78      0.69      0.73       593
      normal       0.69      0.86      0.77       781
   offensive       0.53      0.42      0.47       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.68      1922
   macro avg       0.50      0.49      0.49      1922
weighted avg       0.68      0.68      0.67      1922
",0.6774973985431842,0.6702740201179328,0.6840095465393795,0.6926051232479459,0.6882804995196926,"{'african': 0.8602941176470589, 'arab': 0.75, 'asian': 0.68, 'caucasian': 0.45454545454545453, 'christian': 1.0, 'hispanic': 0.84375, 'buddhism': 0, 'hindu': 0, 'islam': 0.8, 'jewish': 0.9096045197740112, 'men': 0, 'women': 0.5567010309278351, 'heterosexual': 0, 'homosexual': 0.8152866242038217, 'indigenous': 0, 'refugee': 0.7115384615384616, 'immigrant': 0, 'disability': 0, 'none': 0.5701581027667985}","{'african': 0.7548387096774194, 'arab': 0.6623376623376623, 'asian': 0.5, 'caucasian': 0.10416666666666667, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.6862745098039216, 'jewish': 0.8655913978494624, 'men': 0.0, 'women': 0.3576158940397351, 'heterosexual': 0, 'homosexual': 0.7032967032967034, 'indigenous': 0, 'refugee': 0.4805194805194805, 'immigrant': 0, 'disability': 0.0, 'none': 0.8637724550898204}","{'african': 0.8041237113402062, 'arab': 0.7034482758620688, 'asian': 0.576271186440678, 'caucasian': 0.1694915254237288, 'christian': 0.5, 'hispanic': 0.8059701492537314, 'buddhism': 0, 'hindu': 0, 'islam': 0.7387862796833774, 'jewish': 0.887052341597796, 'men': 0, 'women': 0.4354838709677419, 'heterosexual': 0, 'homosexual': 0.7551622418879057, 'indigenous': 0, 'refugee': 0.5736434108527132, 'immigrant': 0, 'disability': 0, 'none': 0.6869047619047619}",0.4711514900738653,0.37279870442330393,0.4019125134323531
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-39,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.80      0.69      0.74       593
      normal       0.62      0.92      0.74       781
   offensive       0.53      0.24      0.33       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.65      1922
   macro avg       0.49      0.46      0.45      1922
weighted avg       0.65      0.65      0.62      1922
",0.6519684356573013,0.6436871314602844,0.6610414657666345,0.6626389560173997,0.6618392469225198,"{'african': 0.884, 'arab': 0.7540983606557377, 'asian': 0.6551724137931034, 'caucasian': 0.5, 'christian': 1.0, 'hispanic': 0.84375, 'buddhism': 0, 'hindu': 0, 'islam': 0.84375, 'jewish': 0.896551724137931, 'men': 0, 'women': 0.5421686746987951, 'heterosexual': 0, 'homosexual': 0.8560606060606061, 'indigenous': 0, 'refugee': 0.8235294117647058, 'immigrant': 0, 'disability': 0, 'none': 0.5288966725043783}","{'african': 0.7129032258064516, 'arab': 0.5974025974025974, 'asian': 0.5588235294117647, 'caucasian': 0.020833333333333332, 'christian': 0.3333333333333333, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.5294117647058824, 'jewish': 0.8387096774193549, 'men': 0.0, 'women': 0.2980132450331126, 'heterosexual': 0, 'homosexual': 0.6208791208791209, 'indigenous': 0, 'refugee': 0.36363636363636365, 'immigrant': 0, 'disability': 0.0, 'none': 0.9041916167664671}","{'african': 0.7892857142857144, 'arab': 0.6666666666666666, 'asian': 0.6031746031746031, 'caucasian': 0.039999999999999994, 'christian': 0.5, 'hispanic': 0.8059701492537314, 'buddhism': 0, 'hindu': 0, 'islam': 0.6506024096385543, 'jewish': 0.8666666666666666, 'men': 0, 'women': 0.38461538461538464, 'heterosexual': 0, 'homosexual': 0.7197452229299364, 'indigenous': 0, 'refugee': 0.5045045045045046, 'immigrant': 0, 'disability': 0, 'none': 0.6674033149171271}",0.48041988755869774,0.3447140199555976,0.3788755071922574
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-4,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.58      0.75      0.65       593
      normal       0.58      0.79      0.67       781
   offensive       0.40      0.06      0.11       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.57      1922
   macro avg       0.39      0.40      0.36      1922
weighted avg       0.53      0.57      0.51      1922
",0.5249739854318418,0.49712972597988203,0.5253623188405797,0.4905751570807153,0.5073731567108224,"{'african': 0.7677165354330708, 'arab': 0.6923076923076923, 'asian': 0.5294117647058824, 'caucasian': 0, 'christian': 0.0, 'hispanic': 0.6842105263157895, 'buddhism': 0, 'hindu': 0.0, 'islam': 0.711864406779661, 'jewish': 0.7345132743362832, 'men': 0, 'women': 0.7222222222222222, 'heterosexual': 0, 'homosexual': 0.7945205479452054, 'indigenous': 0.0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.5127942681678608}","{'african': 0.6290322580645161, 'arab': 0.11688311688311688, 'asian': 0.5294117647058824, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.37142857142857144, 'buddhism': 0, 'hindu': 0, 'islam': 0.20588235294117646, 'jewish': 0.8924731182795699, 'men': 0.0, 'women': 0.08609271523178808, 'heterosexual': 0, 'homosexual': 0.31868131868131866, 'indigenous': 0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.75}","{'african': 0.6914893617021277, 'arab': 0.19999999999999998, 'asian': 0.5294117647058824, 'caucasian': 0, 'christian': 0, 'hispanic': 0.4814814814814815, 'buddhism': 0, 'hindu': 0, 'islam': 0.31939163498098855, 'jewish': 0.8058252427184466, 'men': 0, 'women': 0.15384615384615383, 'heterosexual': 0, 'homosexual': 0.4549019607843137, 'indigenous': 0, 'refugee': 0, 'immigrant': 0, 'disability': 0, 'none': 0.6091185410334347}",0.3236611178007194,0.2052571166429442,0.22344558638172787
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-44,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.75      0.83      0.79       593
      normal       0.73      0.83      0.78       781
   offensive       0.61      0.41      0.49       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.71      1922
   macro avg       0.52      0.52      0.52      1922
weighted avg       0.70      0.71      0.70      1922
",0.7005723204994798,0.6941033645508151,0.7031768610715979,0.7167713871435476,0.7099090473910963,"{'african': 0.8767605633802817, 'arab': 0.7704918032786885, 'asian': 0.6571428571428571, 'caucasian': 0.5, 'christian': 1.0, 'hispanic': 0.7428571428571429, 'buddhism': 0, 'hindu': 0, 'islam': 0.8404255319148937, 'jewish': 0.8829787234042553, 'men': 0, 'women': 0.5486725663716814, 'heterosexual': 0, 'homosexual': 0.7487179487179487, 'indigenous': 0, 'refugee': 0.717391304347826, 'immigrant': 0, 'disability': 0, 'none': 0.6056338028169014}","{'african': 0.8032258064516129, 'arab': 0.6103896103896104, 'asian': 0.6764705882352942, 'caucasian': 0.22916666666666666, 'christian': 0.3333333333333333, 'hispanic': 0.7428571428571429, 'buddhism': 0, 'hindu': 0, 'islam': 0.7745098039215687, 'jewish': 0.8924731182795699, 'men': 0.0, 'women': 0.4105960264900662, 'heterosexual': 0, 'homosexual': 0.8021978021978022, 'indigenous': 0, 'refugee': 0.42857142857142855, 'immigrant': 0, 'disability': 0.0, 'none': 0.8368263473053892}","{'african': 0.8383838383838385, 'arab': 0.6811594202898551, 'asian': 0.6666666666666666, 'caucasian': 0.3142857142857143, 'christian': 0.5, 'hispanic': 0.7428571428571429, 'buddhism': 0, 'hindu': 0, 'islam': 0.806122448979592, 'jewish': 0.8877005347593583, 'men': 0, 'women': 0.4696969696969697, 'heterosexual': 0, 'homosexual': 0.7745358090185676, 'indigenous': 0, 'refugee': 0.5365853658536586, 'immigrant': 0, 'disability': 0, 'none': 0.7027027027027025}",0.46795117074907777,0.39687461445786765,0.41687876913126665
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-49,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.75      0.76       593
      normal       0.70      0.86      0.77       781
   offensive       0.56      0.39      0.46       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.51      0.50      0.50      1922
weighted avg       0.68      0.69      0.68      1922
",0.6844866458550122,0.672858133888311,0.6889744824265768,0.6916384726921218,0.6903039073806078,"{'african': 0.8697183098591549, 'arab': 0.7464788732394366, 'asian': 0.6666666666666666, 'caucasian': 0.5454545454545454, 'christian': 0, 'hispanic': 0.8, 'buddhism': 0, 'hindu': 0, 'islam': 0.8689655172413793, 'jewish': 0.9017341040462428, 'men': 0, 'women': 0.5299145299145299, 'heterosexual': 0, 'homosexual': 0.8246753246753247, 'indigenous': 0, 'refugee': 0.6111111111111112, 'immigrant': 0, 'disability': 0, 'none': 0.5802469135802469}","{'african': 0.7967741935483871, 'arab': 0.6883116883116883, 'asian': 0.5882352941176471, 'caucasian': 0.125, 'christian': 0.0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.6176470588235294, 'jewish': 0.8387096774193549, 'men': 0.0, 'women': 0.4105960264900662, 'heterosexual': 0, 'homosexual': 0.6978021978021978, 'indigenous': 0, 'refugee': 0.5714285714285714, 'immigrant': 0, 'disability': 0.0, 'none': 0.844311377245509}","{'african': 0.8316498316498316, 'arab': 0.7162162162162162, 'asian': 0.625, 'caucasian': 0.20338983050847456, 'christian': 0, 'hispanic': 0.7384615384615385, 'buddhism': 0, 'hindu': 0, 'islam': 0.7220630372492837, 'jewish': 0.8690807799442897, 'men': 0, 'women': 0.46268656716417905, 'heterosexual': 0, 'homosexual': 0.7559523809523809, 'indigenous': 0, 'refugee': 0.5906040268456376, 'immigrant': 0, 'disability': 0, 'none': 0.6878048780487804}",0.41815609977834944,0.3612910721526966,0.3791004782652954
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/0/checkpoint-54,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.83      0.65      0.73       593
      normal       0.70      0.87      0.78       781
   offensive       0.51      0.47      0.49       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.51      0.50      0.50      1922
weighted avg       0.69      0.69      0.68      1922
",0.6910770031217481,0.6757197363857095,0.6963503649635037,0.6916384726921218,0.6939864209505335,"{'african': 0.9019607843137255, 'arab': 0.7741935483870968, 'asian': 0.6521739130434783, 'caucasian': 0.5, 'christian': 1.0, 'hispanic': 0.8275862068965517, 'buddhism': 0, 'hindu': 0, 'islam': 0.8603351955307262, 'jewish': 0.8823529411764706, 'men': 0, 'women': 0.5714285714285714, 'heterosexual': 0, 'homosexual': 0.8048780487804879, 'indigenous': 0, 'refugee': 0.7105263157894737, 'immigrant': 0, 'disability': 0, 'none': 0.5851172273190621}","{'african': 0.7419354838709677, 'arab': 0.6233766233766234, 'asian': 0.4411764705882353, 'caucasian': 0.0625, 'christian': 0.3333333333333333, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.7549019607843137, 'jewish': 0.8870967741935484, 'men': 0.0, 'women': 0.3708609271523179, 'heterosexual': 0, 'homosexual': 0.7252747252747253, 'indigenous': 0, 'refugee': 0.35064935064935066, 'immigrant': 0, 'disability': 0.0, 'none': 0.8592814371257484}","{'african': 0.8141592920353982, 'arab': 0.6906474820143885, 'asian': 0.5263157894736842, 'caucasian': 0.1111111111111111, 'christian': 0.5, 'hispanic': 0.75, 'buddhism': 0, 'hindu': 0, 'islam': 0.8041775456919059, 'jewish': 0.8847184986595173, 'men': 0, 'women': 0.4497991967871486, 'heterosexual': 0, 'homosexual': 0.7630057803468209, 'indigenous': 0, 'refugee': 0.46956521739130436, 'immigrant': 0, 'disability': 0, 'none': 0.6961795027289266}",0.47739751329819174,0.35979480905597105,0.3926147061179056
