Checkpoint Path,Classification Report,Average Precision,Average Recall,Overall Precision,Overall Recall,F1 Score,Per Label Precision,Per Label Recall,Per Label F1,Macro Precision,Macro Recall,Macro F1 Score
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-14,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.61      0.74      0.67       593
      normal       0.57      0.88      0.70       781
   offensive       0.00      0.00      0.00       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.59      1922
   macro avg       0.30      0.41      0.34      1922
weighted avg       0.42      0.59      0.49      1922
",0.6149843912591051,0.5884495317377731,0.6177526936890713,0.5819236346060899,0.5993031358885018,"{'african': 0.8539823008849557, 'arab': 0.6226415094339622, 'asian': 0.6923076923076923, 'caucasian': 0.4666666666666667, 'christian': 0, 'hispanic': 0.8, 'buddhism': 0, 'hindu': 0, 'islam': 0.8208955223880597, 'jewish': 0.896774193548387, 'men': 0, 'women': 0.5161290322580645, 'heterosexual': 0, 'homosexual': 0.8333333333333334, 'indigenous': 0, 'refugee': 0.8, 'immigrant': 0, 'disability': 0, 'none': 0.4979218620116376}","{'african': 0.6225806451612903, 'arab': 0.42857142857142855, 'asian': 0.2647058823529412, 'caucasian': 0.14583333333333334, 'christian': 0.0, 'hispanic': 0.34285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.5392156862745098, 'jewish': 0.7473118279569892, 'men': 0.0, 'women': 0.10596026490066225, 'heterosexual': 0, 'homosexual': 0.38461538461538464, 'indigenous': 0, 'refugee': 0.2077922077922078, 'immigrant': 0, 'disability': 0.0, 'none': 0.8967065868263473}","{'african': 0.7201492537313432, 'arab': 0.5076923076923078, 'asian': 0.3829787234042553, 'caucasian': 0.22222222222222224, 'christian': 0, 'hispanic': 0.48000000000000004, 'buddhism': 0, 'hindu': 0, 'islam': 0.650887573964497, 'jewish': 0.81524926686217, 'men': 0, 'women': 0.17582417582417584, 'heterosexual': 0, 'homosexual': 0.5263157894736842, 'indigenous': 0, 'refugee': 0.32989690721649484, 'immigrant': 0, 'disability': 0, 'none': 0.6402993051843934}",0.4105606375175136,0.24663949424432827,0.28692186976713385
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-19,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.61      0.90      0.72       593
      normal       0.65      0.84      0.73       781
   offensive       0.61      0.03      0.06       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.63      1922
   macro avg       0.47      0.44      0.38      1922
weighted avg       0.62      0.63      0.54      1922
",0.6762053416579952,0.6450052029136315,0.6794162053346754,0.652489125181247,0.665680473372781,"{'african': 0.8, 'arab': 0.696969696969697, 'asian': 0.7272727272727273, 'caucasian': 0.4666666666666667, 'christian': 0, 'hispanic': 0.9047619047619048, 'buddhism': 0, 'hindu': 0, 'islam': 0.8156028368794326, 'jewish': 0.8994082840236687, 'men': 0, 'women': 0.6363636363636364, 'heterosexual': 0, 'homosexual': 0.7834394904458599, 'indigenous': 0, 'refugee': 0.5714285714285714, 'immigrant': 0, 'disability': 0, 'none': 0.5757261410788381}","{'african': 0.8129032258064516, 'arab': 0.5974025974025974, 'asian': 0.47058823529411764, 'caucasian': 0.14583333333333334, 'christian': 0.0, 'hispanic': 0.5428571428571428, 'buddhism': 0, 'hindu': 0, 'islam': 0.5637254901960784, 'jewish': 0.8172043010752689, 'men': 0.0, 'women': 0.1390728476821192, 'heterosexual': 0, 'homosexual': 0.6758241758241759, 'indigenous': 0, 'refugee': 0.5714285714285714, 'immigrant': 0, 'disability': 0.0, 'none': 0.8308383233532934}","{'african': 0.8064000000000001, 'arab': 0.6433566433566433, 'asian': 0.5714285714285714, 'caucasian': 0.22222222222222224, 'christian': 0, 'hispanic': 0.6785714285714285, 'buddhism': 0, 'hindu': 0, 'islam': 0.6666666666666666, 'jewish': 0.8563380281690142, 'men': 0, 'women': 0.22826086956521738, 'heterosexual': 0, 'homosexual': 0.7256637168141593, 'indigenous': 0, 'refugee': 0.5714285714285714, 'immigrant': 0, 'disability': 0, 'none': 0.6801470588235294}",0.4146126292574212,0.3246146444343763,0.35002546194979073
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-24,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.76      0.80      0.78       593
      normal       0.70      0.75      0.72       781
   offensive       0.51      0.43      0.47       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.67      1922
   macro avg       0.49      0.49      0.49      1922
weighted avg       0.66      0.67      0.67      1922
",0.6955428373222338,0.6704474505723205,0.6979269496544916,0.6834219429676172,0.6905982905982907,"{'african': 0.7987220447284346, 'arab': 0.7333333333333333, 'asian': 0.6129032258064516, 'caucasian': 0.36666666666666664, 'christian': 0, 'hispanic': 0.8148148148148148, 'buddhism': 0, 'hindu': 0, 'islam': 0.7844036697247706, 'jewish': 0.8615384615384616, 'men': 0, 'women': 0.53125, 'heterosexual': 0, 'homosexual': 0.75, 'indigenous': 0, 'refugee': 0.5555555555555556, 'immigrant': 0, 'disability': 0, 'none': 0.6277561608300908}","{'african': 0.8064516129032258, 'arab': 0.5714285714285714, 'asian': 0.5588235294117647, 'caucasian': 0.22916666666666666, 'christian': 0.0, 'hispanic': 0.6285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.8382352941176471, 'jewish': 0.9032258064516129, 'men': 0.0, 'women': 0.33774834437086093, 'heterosexual': 0, 'homosexual': 0.8241758241758241, 'indigenous': 0, 'refugee': 0.5194805194805194, 'immigrant': 0, 'disability': 0.0, 'none': 0.7245508982035929}","{'african': 0.8025682182985554, 'arab': 0.6423357664233577, 'asian': 0.5846153846153845, 'caucasian': 0.28205128205128205, 'christian': 0, 'hispanic': 0.7096774193548386, 'buddhism': 0, 'hindu': 0, 'islam': 0.8104265402843602, 'jewish': 0.8818897637795274, 'men': 0, 'women': 0.4129554655870446, 'heterosexual': 0, 'homosexual': 0.7853403141361257, 'indigenous': 0, 'refugee': 0.5369127516778524, 'immigrant': 0, 'disability': 0, 'none': 0.6726893676164003}",0.39141810173676733,0.36536097346219554,0.37481380388551205
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-29,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.75      0.81      0.78       593
      normal       0.64      0.87      0.74       781
   offensive       0.57      0.23      0.33       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.67      1922
   macro avg       0.49      0.48      0.46      1922
weighted avg       0.65      0.67      0.63      1922
",0.6736906000693721,0.6595213319458897,0.6802919708029197,0.6756887385210246,0.6779825412221145,"{'african': 0.8333333333333334, 'arab': 0.7424242424242424, 'asian': 0.6666666666666666, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.8148148148148148, 'buddhism': 0, 'hindu': 0, 'islam': 0.8228571428571428, 'jewish': 0.8852459016393442, 'men': 0, 'women': 0.5483870967741935, 'heterosexual': 0, 'homosexual': 0.7538461538461538, 'indigenous': 0, 'refugee': 0.5520833333333334, 'immigrant': 0, 'disability': 0, 'none': 0.5765472312703583}","{'african': 0.7419354838709677, 'arab': 0.6363636363636364, 'asian': 0.47058823529411764, 'caucasian': 0.041666666666666664, 'christian': 0.0, 'hispanic': 0.6285714285714286, 'buddhism': 0, 'hindu': 0, 'islam': 0.7058823529411765, 'jewish': 0.8709677419354839, 'men': 0.0, 'women': 0.2251655629139073, 'heterosexual': 0, 'homosexual': 0.8076923076923077, 'indigenous': 0, 'refugee': 0.6883116883116883, 'immigrant': 0, 'disability': 0.0, 'none': 0.7949101796407185}","{'african': 0.7849829351535836, 'arab': 0.6853146853146853, 'asian': 0.5517241379310345, 'caucasian': 0.07692307692307693, 'christian': 0, 'hispanic': 0.7096774193548386, 'buddhism': 0, 'hindu': 0, 'islam': 0.7598944591029024, 'jewish': 0.8780487804878049, 'men': 0, 'women': 0.3192488262910798, 'heterosexual': 0, 'homosexual': 0.7798408488063661, 'indigenous': 0, 'refugee': 0.6127167630057804, 'immigrant': 0, 'disability': 0, 'none': 0.6683448709880427}",0.4050634693136622,0.3480029096948474,0.35930088438732605
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-34,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.71      0.85      0.77       593
      normal       0.72      0.75      0.74       781
   offensive       0.57      0.42      0.48       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.50      0.51      0.50      1922
weighted avg       0.68      0.69      0.68      1922
",0.7024800554977454,0.6809053069719042,0.7058823529411765,0.6959884001933301,0.7009004623996107,"{'african': 0.7403314917127072, 'arab': 0.7575757575757576, 'asian': 0.6363636363636364, 'caucasian': 0.42857142857142855, 'christian': 0, 'hispanic': 0.6756756756756757, 'buddhism': 0, 'hindu': 0, 'islam': 0.8333333333333334, 'jewish': 0.8688524590163934, 'men': 0, 'women': 0.5714285714285714, 'heterosexual': 0, 'homosexual': 0.7673267326732673, 'indigenous': 0, 'refugee': 0.7027027027027027, 'immigrant': 0, 'disability': 0, 'none': 0.637434554973822}","{'african': 0.864516129032258, 'arab': 0.6493506493506493, 'asian': 0.6176470588235294, 'caucasian': 0.25, 'christian': 0.0, 'hispanic': 0.7142857142857143, 'buddhism': 0, 'hindu': 0, 'islam': 0.8088235294117647, 'jewish': 0.8548387096774194, 'men': 0.0, 'women': 0.4503311258278146, 'heterosexual': 0, 'homosexual': 0.8516483516483516, 'indigenous': 0, 'refugee': 0.33766233766233766, 'immigrant': 0, 'disability': 0.0, 'none': 0.7290419161676647}","{'african': 0.7976190476190477, 'arab': 0.6993006993006993, 'asian': 0.6268656716417911, 'caucasian': 0.3157894736842105, 'christian': 0, 'hispanic': 0.6944444444444444, 'buddhism': 0, 'hindu': 0, 'islam': 0.8208955223880597, 'jewish': 0.8617886178861789, 'men': 0, 'women': 0.5037037037037037, 'heterosexual': 0, 'homosexual': 0.8072916666666667, 'indigenous': 0, 'refugee': 0.45614035087719296, 'immigrant': 0, 'disability': 0, 'none': 0.6801675977653631}",0.4010313865277524,0.37516555378355276,0.3823161471567031
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-39,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.68      0.87      0.77       593
      normal       0.72      0.79      0.75       781
   offensive       0.62      0.35      0.45       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.51      0.50      0.49      1922
weighted avg       0.68      0.69      0.67      1922
",0.7031737773152967,0.6864724245577524,0.7066795740561471,0.7056549057515709,0.7061668681983072,"{'african': 0.771513353115727, 'arab': 0.7432432432432432, 'asian': 0.6428571428571429, 'caucasian': 0.5833333333333334, 'christian': 0, 'hispanic': 0.8125, 'buddhism': 0, 'hindu': 0, 'islam': 0.8125, 'jewish': 0.8907103825136612, 'men': 0, 'women': 0.5714285714285714, 'heterosexual': 0, 'homosexual': 0.765625, 'indigenous': 0, 'refugee': 0.5851063829787234, 'immigrant': 0, 'disability': 0, 'none': 0.6395806028833552}","{'african': 0.8387096774193549, 'arab': 0.7142857142857143, 'asian': 0.5294117647058824, 'caucasian': 0.14583333333333334, 'christian': 0.0, 'hispanic': 0.7428571428571429, 'buddhism': 0, 'hindu': 0, 'islam': 0.7647058823529411, 'jewish': 0.8763440860215054, 'men': 0.0, 'women': 0.423841059602649, 'heterosexual': 0, 'homosexual': 0.8076923076923077, 'indigenous': 0, 'refugee': 0.7142857142857143, 'immigrant': 0, 'disability': 0.0, 'none': 0.7305389221556886}","{'african': 0.8037094281298299, 'arab': 0.7284768211920529, 'asian': 0.5806451612903226, 'caucasian': 0.23333333333333336, 'christian': 0, 'hispanic': 0.7761194029850748, 'buddhism': 0, 'hindu': 0, 'islam': 0.787878787878788, 'jewish': 0.8834688346883468, 'men': 0, 'women': 0.48669201520912553, 'heterosexual': 0, 'homosexual': 0.786096256684492, 'indigenous': 0, 'refugee': 0.6432748538011696, 'immigrant': 0, 'disability': 0, 'none': 0.6820405310971349}",0.4114946322291451,0.3836055581427492,0.3890387066468247
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-4,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.77      0.41      0.53       593
      normal       0.49      0.96      0.65       781
   offensive       0.28      0.05      0.08       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.53      1922
   macro avg       0.38      0.35      0.32      1922
weighted avg       0.52      0.53      0.45      1922
",0.5332986472424558,0.5077263267429761,0.5335064935064935,0.49637506041565976,0.514271407110666,"{'african': 0.7702702702702703, 'arab': 0.75, 'asian': 0.6, 'caucasian': 0, 'christian': 0.0, 'hispanic': 0.9090909090909091, 'buddhism': 0, 'hindu': 0, 'islam': 0.7857142857142857, 'jewish': 0.7832512315270936, 'men': 0, 'women': 0.7142857142857143, 'heterosexual': 0, 'homosexual': 0.7558139534883721, 'indigenous': 0.0, 'refugee': 0, 'immigrant': 0, 'disability': 0.0, 'none': 0.46308724832214765}","{'african': 0.5516129032258065, 'arab': 0.07792207792207792, 'asian': 0.4411764705882353, 'caucasian': 0.0, 'christian': 0.0, 'hispanic': 0.2857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.21568627450980393, 'jewish': 0.8548387096774194, 'men': 0.0, 'women': 0.033112582781456956, 'heterosexual': 0, 'homosexual': 0.35714285714285715, 'indigenous': 0, 'refugee': 0.0, 'immigrant': 0, 'disability': 0.0, 'none': 0.8263473053892215}","{'african': 0.6428571428571429, 'arab': 0.1411764705882353, 'asian': 0.5084745762711865, 'caucasian': 0, 'christian': 0, 'hispanic': 0.43478260869565216, 'buddhism': 0, 'hindu': 0, 'islam': 0.3384615384615385, 'jewish': 0.8174807197943444, 'men': 0, 'women': 0.06329113924050632, 'heterosexual': 0, 'homosexual': 0.48507462686567165, 'indigenous': 0, 'refugee': 0, 'immigrant': 0, 'disability': 0, 'none': 0.5935483870967742}",0.343763874352568,0.19176597194479814,0.211849853151108
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-44,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.69      0.86      0.77       593
      normal       0.73      0.76      0.75       781
   offensive       0.58      0.40      0.47       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.69      1922
   macro avg       0.50      0.50      0.50      1922
weighted avg       0.68      0.69      0.67      1922
",0.7027835587929242,0.6881026708289976,0.7015781922525107,0.7090381826969551,0.7052884615384615,"{'african': 0.7710144927536232, 'arab': 0.7575757575757576, 'asian': 0.625, 'caucasian': 0.42857142857142855, 'christian': 0, 'hispanic': 0.675, 'buddhism': 0, 'hindu': 0, 'islam': 0.8028169014084507, 'jewish': 0.8617021276595744, 'men': 0, 'women': 0.4931506849315068, 'heterosexual': 0, 'homosexual': 0.7536945812807881, 'indigenous': 0, 'refugee': 0.6875, 'immigrant': 0, 'disability': 0, 'none': 0.6460526315789473}","{'african': 0.8580645161290322, 'arab': 0.6493506493506493, 'asian': 0.5882352941176471, 'caucasian': 0.1875, 'christian': 0.0, 'hispanic': 0.7714285714285715, 'buddhism': 0, 'hindu': 0, 'islam': 0.8382352941176471, 'jewish': 0.8709677419354839, 'men': 0.0, 'women': 0.4768211920529801, 'heterosexual': 0, 'homosexual': 0.8406593406593407, 'indigenous': 0, 'refugee': 0.42857142857142855, 'immigrant': 0, 'disability': 0.0, 'none': 0.7350299401197605}","{'african': 0.8122137404580153, 'arab': 0.6993006993006993, 'asian': 0.6060606060606061, 'caucasian': 0.26086956521739124, 'christian': 0, 'hispanic': 0.72, 'buddhism': 0, 'hindu': 0, 'islam': 0.8201438848920864, 'jewish': 0.8663101604278075, 'men': 0, 'women': 0.4848484848484848, 'heterosexual': 0, 'homosexual': 0.7948051948051948, 'indigenous': 0, 'refugee': 0.528, 'immigrant': 0, 'disability': 0, 'none': 0.6876750700280112}",0.39484624240842514,0.38130862992013376,0.38316986347569987
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-49,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.69      0.87      0.77       593
      normal       0.71      0.83      0.77       781
   offensive       0.67      0.33      0.44       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.52      0.51      0.49      1922
weighted avg       0.69      0.70      0.67      1922
",0.7114117238987165,0.6947797433229276,0.7102848865282472,0.7109714838086032,0.7106280193236715,"{'african': 0.8464163822525598, 'arab': 0.7575757575757576, 'asian': 0.6666666666666666, 'caucasian': 0.45, 'christian': 0, 'hispanic': 0.7741935483870968, 'buddhism': 0, 'hindu': 0, 'islam': 0.83, 'jewish': 0.8723404255319149, 'men': 0, 'women': 0.5555555555555556, 'heterosexual': 0, 'homosexual': 0.7526315789473684, 'indigenous': 0, 'refugee': 0.5978260869565217, 'immigrant': 0, 'disability': 0, 'none': 0.6361416361416361}","{'african': 0.8, 'arab': 0.6493506493506493, 'asian': 0.5882352941176471, 'caucasian': 0.1875, 'christian': 0.0, 'hispanic': 0.6857142857142857, 'buddhism': 0, 'hindu': 0, 'islam': 0.8137254901960784, 'jewish': 0.8817204301075269, 'men': 0.0, 'women': 0.3973509933774834, 'heterosexual': 0, 'homosexual': 0.7857142857142857, 'indigenous': 0, 'refugee': 0.7142857142857143, 'immigrant': 0, 'disability': 0.0, 'none': 0.7799401197604791}","{'african': 0.822553897180763, 'arab': 0.6993006993006993, 'asian': 0.625, 'caucasian': 0.26470588235294124, 'christian': 0, 'hispanic': 0.7272727272727272, 'buddhism': 0, 'hindu': 0, 'islam': 0.8217821782178217, 'jewish': 0.877005347593583, 'men': 0, 'women': 0.4633204633204633, 'heterosexual': 0, 'homosexual': 0.7688172043010753, 'indigenous': 0, 'refugee': 0.6508875739644971, 'immigrant': 0, 'disability': 0, 'none': 0.7007397444519166}",0.4073340862113199,0.3833440664539026,0.3905992483134993
pfl-research/benchmarks/hf_checkpoint/final_pfl_best/1/checkpoint-54,"
Classification Report:

              precision    recall  f1-score   support

 hate speech       0.71      0.87      0.78       593
      normal       0.72      0.80      0.76       781
   offensive       0.64      0.39      0.49       548
   undecided       0.00      0.00      0.00         0

    accuracy                           0.70      1922
   macro avg       0.52      0.51      0.51      1922
weighted avg       0.69      0.70      0.69      1922
",0.7065556711758585,0.6893513701005897,0.7077294685990339,0.7080715321411309,0.7079004590480791,"{'african': 0.7681159420289855, 'arab': 0.7464788732394366, 'asian': 0.6666666666666666, 'caucasian': 0.5, 'christian': 0, 'hispanic': 0.6764705882352942, 'buddhism': 0, 'hindu': 0, 'islam': 0.8406593406593407, 'jewish': 0.8770053475935828, 'men': 0, 'women': 0.5714285714285714, 'heterosexual': 0, 'homosexual': 0.7833333333333333, 'indigenous': 0, 'refugee': 0.6851851851851852, 'immigrant': 0, 'disability': 0, 'none': 0.6318347509113001}","{'african': 0.8548387096774194, 'arab': 0.6883116883116883, 'asian': 0.5882352941176471, 'caucasian': 0.1875, 'christian': 0.0, 'hispanic': 0.6571428571428571, 'buddhism': 0, 'hindu': 0, 'islam': 0.75, 'jewish': 0.8817204301075269, 'men': 0.0, 'women': 0.4768211920529801, 'heterosexual': 0, 'homosexual': 0.7747252747252747, 'indigenous': 0, 'refugee': 0.4805194805194805, 'immigrant': 0, 'disability': 0.0, 'none': 0.7784431137724551}","{'african': 0.8091603053435115, 'arab': 0.7162162162162162, 'asian': 0.625, 'caucasian': 0.2727272727272727, 'christian': 0, 'hispanic': 0.6666666666666666, 'buddhism': 0, 'hindu': 0, 'islam': 0.7927461139896372, 'jewish': 0.8793565683646112, 'men': 0, 'women': 0.51985559566787, 'heterosexual': 0, 'homosexual': 0.7790055248618786, 'indigenous': 0, 'refugee': 0.5648854961832062, 'immigrant': 0, 'disability': 0, 'none': 0.6975184439973172}",0.40774624206745763,0.37464516002249093,0.38542832652727294
